"Lines","Long","Lat","crop","am_roots_colonized_value"
"PI526387",29.7,-16.8,"pearl_millet",NA
"PI526339",32.16666667,-18.7,"pearl_millet",NA
"PI526300",31.88333333,-19.28333333,"pearl_millet",NA
"PI526301",31.88333333,-19.28333333,"pearl_millet",NA
"PI526302",31.88333333,-19.28333333,"pearl_millet",NA
"PI526303",31.88333333,-19.28333333,"pearl_millet",NA
"PI526304",31.88333333,-19.28333333,"pearl_millet",NA
"PI526305",31.88333333,-19.28333333,"pearl_millet",NA
"PI526277",31.45,-19.33333333,"pearl_millet",NA
"PI526278",31.45,-19.33333333,"pearl_millet",NA
"PI526279",31.45,-19.33333333,"pearl_millet",NA
"PI526280",31.45,-19.33333333,"pearl_millet",NA
"PI526281",31.45,-19.33333333,"pearl_millet",NA
"PI526282",31.45,-19.33333333,"pearl_millet",NA
"PI526283",31.45,-19.38333333,"pearl_millet",0.467448085546494
"PI526285",31.45,-19.38333333,"pearl_millet",0.467448085546494
"PI526286",31.45,-19.38333333,"pearl_millet",0.467448085546494
"PI526272",31.58333333,-19.41666667,"pearl_millet",NA
"PI526273",31.58333333,-19.41666667,"pearl_millet",NA
"PI526274",31.58333333,-19.41666667,"pearl_millet",NA
"PI526275",31.58333333,-19.41666667,"pearl_millet",NA
"PI526276",31.58333333,-19.41666667,"pearl_millet",NA
"PI526313",31.75,-19.43333333,"pearl_millet",NA
"PI526314",31.75,-19.43333333,"pearl_millet",NA
"PI526315",31.75,-19.46666667,"pearl_millet",NA
"PI526293",31.63333333,-19.5,"pearl_millet",NA
"PI526294",31.63333333,-19.5,"pearl_millet",NA
"PI526295",31.63333333,-19.5,"pearl_millet",NA
"PI526270",31.8,-19.5,"pearl_millet",NA
"PI526271",31.8,-19.5,"pearl_millet",NA
"PI526296",31.63333333,-19.51666667,"pearl_millet",NA
"PI526297",31.63333333,-19.51666667,"pearl_millet",NA
"PI526298",31.63333333,-19.51666667,"pearl_millet",NA
"PI526299",31.63333333,-19.51666667,"pearl_millet",NA
"PI526337",31.21666667,-19.63333333,"pearl_millet",NA
"PI526287",31.5,-19.63333333,"pearl_millet",NA
"PI526288",31.5,-19.63333333,"pearl_millet",NA
"PI526289",31.5,-19.63333333,"pearl_millet",NA
"PI526290",31.5,-19.63333333,"pearl_millet",NA
"PI526292",31.58333333,-19.63333333,"pearl_millet",NA
"PI526291",31.8,-19.71666667,"pearl_millet",NA
"PI526340",31.8,-19.71666667,"pearl_millet",NA
"PI526341",31.8,-19.71666667,"pearl_millet",NA
"PI526342",31.8,-19.71666667,"pearl_millet",NA
"PI526343",31.8,-19.71666667,"pearl_millet",NA
"PI526344",31.8,-19.71666667,"pearl_millet",NA
"PI526345",31.8,-19.71666667,"pearl_millet",NA
"PI526268",30.78333333,-19.88333333,"pearl_millet",NA
"PI526269",30.78333333,-19.88333333,"pearl_millet",NA
"PI526306",32.33333333,-19.91666667,"pearl_millet",NA
"PI526307",32.33333333,-19.91666667,"pearl_millet",NA
"PI526308",32.33333333,-19.91666667,"pearl_millet",NA
"PI526309",32.33333333,-19.91666667,"pearl_millet",NA
"PI526310",32.33333333,-19.91666667,"pearl_millet",NA
"PI526311",32.33333333,-19.91666667,"pearl_millet",NA
"PI526312",32.33333333,-19.91666667,"pearl_millet",NA
"PI526336",31.05,-20.25,"pearl_millet",NA
"PI526328",30.08333333,-20.33333333,"pearl_millet",NA
"PI526329",30.08333333,-20.33333333,"pearl_millet",NA
"PI526330",30.08333333,-20.33333333,"pearl_millet",NA
"PI526331",30.08333333,-20.33333333,"pearl_millet",NA
"PI526332",30.08333333,-20.33333333,"pearl_millet",NA
"PI526333",30.08333333,-20.33333333,"pearl_millet",NA
"PI526334",30.7,-20.41666667,"pearl_millet",0.324443697929382
"PI526335",30.7,-20.41666667,"pearl_millet",0.324443697929382
"PI526316",30.75,-20.75,"pearl_millet",0.324443697929382
"PI526318",30.75,-20.75,"pearl_millet",0.324443697929382
"PI526319",30.75,-20.9,"pearl_millet",NA
"PI526320",30.75,-20.9,"pearl_millet",NA
"PI526321",30.75,-20.9,"pearl_millet",NA
"PI526322",30.75,-20.9,"pearl_millet",NA
"PI526324",30.63333333,-20.93333333,"pearl_millet",NA
"PI526325",30.63333333,-20.93333333,"pearl_millet",NA
"PI526326",30.63333333,-20.93333333,"pearl_millet",NA
"PI526327",30.63333333,-20.93333333,"pearl_millet",NA
"PI511045",43.81666667,13.58333333,"pearl_millet",NA
"PI511025",44.01666667,13.58333333,"pearl_millet",0.0374746099114418
"PI511046",43.25,13.8,"pearl_millet",NA
"PI511051",43.4,14.13333333,"pearl_millet",NA
"PI511027",43.31666667,14.2,"pearl_millet",NA
"PI511031",43.38333333,14.36666667,"pearl_millet",NA
"PI511047",43.33333333,14.51666667,"pearl_millet",NA
"PI511049",43.3,14.68333333,"pearl_millet",NA
"PI511048",42.95,14.78333333,"pearl_millet",NA
"PI511035",43.25,14.98333333,"pearl_millet",NA
"PI511029",43,15.16666667,"pearl_millet",NA
"PI511032",43.2,15.28333333,"pearl_millet",NA
"PI511033",43.2,15.28333333,"pearl_millet",NA
"PI511030",43,15.33333333,"pearl_millet",NA
"PI511036",43.58333333,15.5,"pearl_millet",0.0374746099114418
"PI511039",42.96666667,15.65,"pearl_millet",NA
"PI511044",43.3,16.01666667,"pearl_millet",0.0850896686315536
"PI511038",43.7,16.05,"pearl_millet",NA
"PI511041",43.63333333,16.21666667,"pearl_millet",0.365921407938004
"PI511052",44.08333333,16.26666667,"pearl_millet",NA
"PI511042",43.51666667,16.28333333,"pearl_millet",0.365921407938004
"PI511043",43.51666667,16.28333333,"pearl_millet",0.365921407938004
"PI511040",43.71666667,16.3,"pearl_millet",0.0374746099114418
"PLS302",-16.3833333,13.61,"pearl_millet",NA
"PLS27",-16.03855,13.6101833,"pearl_millet",NA
"PLS29",-15.6044528,13.6163667,"pearl_millet",NA
"PLS30",-15.6427194,13.6271222,"pearl_millet",NA
"PLS308",-15.6333333,13.65,"pearl_millet",NA
"PLS310",-15.5833333,13.65,"pearl_millet",NA
"PLS304",-16.1166667,13.6833333,"pearl_millet",NA
"PLS32",-15.8300556,13.6906139,"pearl_millet",NA
"PLS307",-15.8333333,13.7,"pearl_millet",NA
"PLS31",-15.4333333,13.7166667,"pearl_millet",NA
"PLS305",-16,13.7333333,"pearl_millet",NA
"PLS38",-15.9983472,13.767475,"pearl_millet",NA
"PLS309",-15.5870111,13.7712611,"pearl_millet",NA
"PLS312",-15.75,13.7833333,"pearl_millet",NA
"PLS40",-16.3272472,13.8009361,"pearl_millet",NA
"PLS320",-15.4020417,13.8100139,"pearl_millet",NA
"PLS12",-15.4367417,13.8195611,"pearl_millet",NA
"PLS39",-16.266913,13.8246013,"pearl_millet",NA
"PLS18",-15.1375889,13.8250611,"pearl_millet",NA
"PLS19",-15.1830944,13.8275306,"pearl_millet",NA
"PLS319",-15.4053444,13.8279611,"pearl_millet",NA
"PLS25",-15.4333333,13.8333333,"pearl_millet",NA
"PLS26",-15.4166667,13.8333333,"pearl_millet",NA
"PLS313",-15.6333333,13.8666667,"pearl_millet",NA
"PLS24",-15.6676472,13.9137639,"pearl_millet",NA
"PLS33",-16.1872222,13.93205,"pearl_millet",NA
"PLS35",-15.9456917,13.9391,"pearl_millet",NA
"PLS36",-15.9501944,13.9629556,"pearl_millet",NA
"PLS325",-14.9407421,13.9749165,"pearl_millet",NA
"PLS20",-14.8,13.9833333,"pearl_millet",NA
"PLS326",-14.7666667,14,"pearl_millet",NA
"PLS322",-15.3,14.0166667,"pearl_millet",NA
"PLS37",-16.0333333,14.0166667,"pearl_millet",NA
"PLS318",-15.4781766,14.0187757,"pearl_millet",NA
"PLS317",-15.4781766,14.0187758,"pearl_millet",NA
"PLS23",-15.6454861,14.0354139,"pearl_millet",NA
"PLS54",-16.3180106,14.0391658,"pearl_millet",NA
"PLS22",-15.161725,14.04475,"pearl_millet",NA
"PLS303",-16.0493222,14.0572194,"pearl_millet",NA
"PLS314",-15.9332694,14.0692806,"pearl_millet",NA
"PLS301",-16.1333333,14.0833333,"pearl_millet",NA
"PLS44",-16.0683861,14.0858917,"pearl_millet",NA
"PLS43",-16.1672278,14.0889639,"pearl_millet",NA
"PLS42",-15.6166667,14.1,"pearl_millet",NA
"PLS316",-15.7362926,14.1180348,"pearl_millet",NA
"PLS10",-15.8833333,14.1333333,"pearl_millet",NA
"PLS11",-15.75,14.1333333,"pearl_millet",NA
"PLS315",-15.55,14.1333333,"pearl_millet",NA
"PLS321",-14.9898724,14.145301,"pearl_millet",NA
"PLS13",-15.4333333,14.1833333,"pearl_millet",NA
"PLS45",-16.2333333,14.2166667,"pearl_millet",NA
"PLS49",-16.6050944,14.2265278,"pearl_millet",NA
"PLS48",-16.5775917,14.2271944,"pearl_millet",NA
"PLS47",-16.75,14.2833306,"pearl_millet",NA
"PLS14",-15.3,14.2833333,"pearl_millet",NA
"PLS170",-16.8666667,14.3,"pearl_millet",NA
"PLS167",-16.7329627,14.302254,"pearl_millet",NA
"PLS56",-16.7404556,14.3469806,"pearl_millet",NA
"PLS171",-16.8166667,14.35,"pearl_millet",NA
"PLS57",-16.7076972,14.3610444,"pearl_millet",NA
