"Lines","Long","Lat","crop","aridity_index_raw","aridity_index"
"BRIDGE_HOR_12516",-16.56333333,28.33944444,"barley",2607,0.2607
"BRIDGE_HOR_12779",-16.56333333,28.33944444,"barley",2607,0.2607
"BRIDGE_HOR_12780",-16.56333333,28.33944444,"barley",2607,0.2607
"BRIDGE_BCC_1576",-13.46194444,9.131944444,"barley",0,0
"BRIDGE_HOR_13419",-9.483333333,30.46666667,"barley",1220,0.122
"BRIDGE_HOR_13418",-9.366666667,30.46666667,"barley",1105,0.1105
"BRIDGE_HOR_13420",-9.05,30.88333333,"barley",1527,0.1527
"BRIDGE_HOR_12820",-8.966666667,37.13305556,"barley",0,0
"BRIDGE_HOR_13423",-8.916666667,30.45,"barley",1127,0.1127
"BRIDGE_HOR_13414",-8.883333333,31.16666667,"barley",2341,0.2341
"BRIDGE_HOR_13415",-8.883333333,31.16666667,"barley",2341,0.2341
"BRIDGE_HOR_13416",-8.833333333,31.05,"barley",2886,0.2886
"BRIDGE_HOR_13417",-8.833333333,31.05,"barley",2886,0.2886
"BRIDGE_HOR_13412",-8.516666667,31.36666667,"barley",1662,0.1662
"BRIDGE_HOR_13413",-8.516666667,31.36666667,"barley",1662,0.1662
"BRIDGE_BCC_137",-8.433333333,30.06666667,"barley",1592,0.1592
"BRIDGE_HOR_13425",-8.166666667,30.7,"barley",1360,0.136
"BRIDGE_HOR_13424",-8.083333333,30.73333333,"barley",1485,0.1485
"BRIDGE_HOR_13447",-8.083333333,30.73333333,"barley",1485,0.1485
"BRIDGE_HOR_13436",-8.066666667,30.51666667,"barley",1652,0.1652
"BRIDGE_HOR_13437",-8.066666667,30.51666667,"barley",1652,0.1652
"BRIDGE_HOR_13427",-7.866666667,30.7,"barley",1866,0.1866
"BRIDGE_HOR_13428",-7.866666667,30.7,"barley",1866,0.1866
"BRIDGE_HOR_13429",-7.866666667,30.7,"barley",1866,0.1866
"BRIDGE_HOR_13430",-7.866666667,30.7,"barley",1866,0.1866
"BRIDGE_HOR_13431",-7.866666667,30.7,"barley",1866,0.1866
"BRIDGE_HOR_13432",-7.866666667,30.7,"barley",1866,0.1866
"BRIDGE_HOR_13433",-7.866666667,30.7,"barley",1866,0.1866
"BRIDGE_HOR_13434",-7.866666667,30.7,"barley",1866,0.1866
"BRIDGE_HOR_13426",-7.8,30.71666667,"barley",2226,0.2226
"BRIDGE_HOR_13438",-7.8,30.71666667,"barley",2226,0.2226
"BRIDGE_HOR_8841",-7.726944444,37.50111111,"barley",3237,0.3237
"BRIDGE_BCC_140",-6.85,30.96666667,"barley",571,0.0571
"BRIDGE_HOR_8849",-6.666666667,40.14972222,"barley",4570,0.457
"BRIDGE_HOR_8850",-6.666666667,40.14972222,"barley",4570,0.457
"BRIDGE_BCC_152",-6.533333333,34.03333333,"barley",3214,0.3214
"BRIDGE_HOR_8851",-6.333333333,40.43305556,"barley",8954,0.8954
"BRIDGE_HOR_13443",-6.3,33.9,"barley",2963,0.2963
"BRIDGE_HOR_8848",-5.668888889,39.44472222,"barley",4187,0.4187
"BRIDGE_HOR_8846",-5.65,39.37833333,"barley",3900,0.39
"BRIDGE_HOR_13442",-5.6,34.06666667,"barley",2944,0.2944
"BRIDGE_HOR_13446",-5.6,34.78333333,"barley",4494,0.4494
"BRIDGE_HOR_13444",-5.55,34.81666667,"barley",4277,0.4277
"BRIDGE_HOR_13445",-5.55,34.81666667,"barley",4277,0.4277
"BRIDGE_BCC_141",-5.5,31.8,"barley",1258,0.1258
