"Lines","Long","Lat","crop","n_value","log_n"
"BRIDGE_HOR_12516",-16.56333333,28.33944444,"barley",509,2.70671778233676
"BRIDGE_HOR_12779",-16.56333333,28.33944444,"barley",509,2.70671778233676
"BRIDGE_HOR_12780",-16.56333333,28.33944444,"barley",509,2.70671778233676
"BRIDGE_BCC_1576",-13.46194444,9.131944444,"barley",NA,NA
"BRIDGE_HOR_13419",-9.483333333,30.46666667,"barley",285,2.45484486000851
"BRIDGE_HOR_13418",-9.366666667,30.46666667,"barley",225,2.35218251811136
"BRIDGE_HOR_13420",-9.05,30.88333333,"barley",184,2.26481782300954
"BRIDGE_HOR_12820",-8.966666667,37.13305556,"barley",NA,NA
"BRIDGE_HOR_13423",-8.916666667,30.45,"barley",184,2.26481782300954
"BRIDGE_HOR_13414",-8.883333333,31.16666667,"barley",234,2.36921585741014
"BRIDGE_HOR_13415",-8.883333333,31.16666667,"barley",234,2.36921585741014
"BRIDGE_HOR_13416",-8.833333333,31.05,"barley",293,2.46686762035411
"BRIDGE_HOR_13417",-8.833333333,31.05,"barley",293,2.46686762035411
"BRIDGE_HOR_13412",-8.516666667,31.36666667,"barley",127,2.10380372095596
"BRIDGE_HOR_13413",-8.516666667,31.36666667,"barley",127,2.10380372095596
"BRIDGE_BCC_137",-8.433333333,30.06666667,"barley",248,2.39445168082622
"BRIDGE_HOR_13425",-8.166666667,30.7,"barley",206,2.31386722036915
"BRIDGE_HOR_13424",-8.083333333,30.73333333,"barley",213,2.32837960343874
"BRIDGE_HOR_13447",-8.083333333,30.73333333,"barley",213,2.32837960343874
"BRIDGE_HOR_13436",-8.066666667,30.51666667,"barley",194,2.28780172993023
"BRIDGE_HOR_13437",-8.066666667,30.51666667,"barley",194,2.28780172993023
"BRIDGE_HOR_13427",-7.866666667,30.7,"barley",270,2.43136376415899
"BRIDGE_HOR_13428",-7.866666667,30.7,"barley",270,2.43136376415899
"BRIDGE_HOR_13429",-7.866666667,30.7,"barley",270,2.43136376415899
"BRIDGE_HOR_13430",-7.866666667,30.7,"barley",270,2.43136376415899
"BRIDGE_HOR_13431",-7.866666667,30.7,"barley",270,2.43136376415899
"BRIDGE_HOR_13432",-7.866666667,30.7,"barley",270,2.43136376415899
"BRIDGE_HOR_13433",-7.866666667,30.7,"barley",270,2.43136376415899
"BRIDGE_HOR_13434",-7.866666667,30.7,"barley",270,2.43136376415899
"BRIDGE_HOR_13426",-7.8,30.71666667,"barley",224,2.35024801833416
"BRIDGE_HOR_13438",-7.8,30.71666667,"barley",224,2.35024801833416
"BRIDGE_HOR_8841",-7.726944444,37.50111111,"barley",234,2.36921585741014
"BRIDGE_BCC_140",-6.85,30.96666667,"barley",57,1.75587485567249
"BRIDGE_HOR_8849",-6.666666667,40.14972222,"barley",307,2.48713837547719
"BRIDGE_HOR_8850",-6.666666667,40.14972222,"barley",307,2.48713837547719
"BRIDGE_BCC_152",-6.533333333,34.03333333,"barley",263,2.41995574848976
"BRIDGE_HOR_8851",-6.333333333,40.43305556,"barley",612,2.78675142214556
"BRIDGE_HOR_13443",-6.3,33.9,"barley",230,2.36172783601759
"BRIDGE_HOR_8848",-5.668888889,39.44472222,"barley",433,2.63648789635337
"BRIDGE_HOR_8846",-5.65,39.37833333,"barley",225,2.35218251811136
"BRIDGE_HOR_13442",-5.6,34.06666667,"barley",247,2.39269695325967
"BRIDGE_HOR_13446",-5.6,34.78333333,"barley",312,2.49415459401844
"BRIDGE_HOR_13444",-5.55,34.81666667,"barley",331,2.51982799377572
"BRIDGE_HOR_13445",-5.55,34.81666667,"barley",331,2.51982799377572
"BRIDGE_BCC_141",-5.5,31.8,"barley",242,2.38381536598043
"BRIDGE_HOR_13441",-5.4,33.58333333,"barley",226,2.3541084391474
"BRIDGE_HOR_8852",-5.233333333,40.38305556,"barley",502,2.70070371714502
"BRIDGE_HOR_13439",-5.166666667,32.75,"barley",120,2.07918124604762
"BRIDGE_HOR_13440",-4.933333333,33.96666667,"barley",208,2.31806333496276
"BRIDGE_HOR_12522",-4.133333333,31.53333333,"barley",51,1.70757017609794
"BRIDGE_HOR_12821",-4.133333333,31.53333333,"barley",51,1.70757017609794
"BRIDGE_BCC_162",-3.916666667,35.21666667,"barley",328,2.51587384371168
"BRIDGE_HOR_11644",-3.523055556,50.72166667,"barley",NA,NA
"BRIDGE_HOR_13460",-3.516666667,36.91638889,"barley",260,2.41497334797082
"BRIDGE_HOR_13461",-3.516666667,36.91638889,"barley",260,2.41497334797082
"BRIDGE_HOR_11646",-2.591666667,51.45527778,"barley",NA,NA
"BRIDGE_HOR_11665",-1.944722222,52.40777778,"barley",NA,NA
"BRIDGE_HOR_12019",-1.944722222,52.40777778,"barley",NA,NA
"BRIDGE_HOR_12045",-1.944722222,52.40777778,"barley",NA,NA
"BRIDGE_HOR_12047",-1.944722222,52.40777778,"barley",NA,NA
"BRIDGE_HOR_12048",-1.944722222,52.40777778,"barley",NA,NA
"BRIDGE_HOR_12073",-1.944722222,52.40777778,"barley",NA,NA
"BRIDGE_HOR_12316",-1.944722222,52.40777778,"barley",NA,NA
"BRIDGE_HOR_12317",-1.944722222,52.40777778,"barley",NA,NA
"BRIDGE_HOR_12318",-1.944722222,52.40777778,"barley",NA,NA
"BRIDGE_HOR_12319",-1.944722222,52.40777778,"barley",NA,NA
"BRIDGE_HOR_12320",-1.944722222,52.40777778,"barley",NA,NA
"BRIDGE_HOR_12322",-1.944722222,52.40777778,"barley",NA,NA
"BRIDGE_HOR_12323",-1.944722222,52.40777778,"barley",NA,NA
"BRIDGE_HOR_12324",-1.944722222,52.40777778,"barley",NA,NA
"BRIDGE_HOR_12325",-1.944722222,52.40777778,"barley",NA,NA
"BRIDGE_HOR_12326",-1.944722222,52.40777778,"barley",NA,NA
"BRIDGE_HOR_12331",-1.944722222,52.40777778,"barley",NA,NA
"BRIDGE_HOR_12332",-1.944722222,52.40777778,"barley",NA,NA
"BRIDGE_HOR_12334",-1.944722222,52.40777778,"barley",NA,NA
"BRIDGE_BCC_134",-1.25,32.16666667,"barley",48,1.68124123737559
"BRIDGE_HOR_11645",-0.1325,52.20583333,"barley",684,2.83505610172012
"BTR_FT521",2.68333333,42.73333333,"barley",364,2.56110138364906
"BRIDGE_BCC_37",3.266666667,34.73333333,"barley",144,2.15836249209525
"BRIDGE_HOR_13515",5.645,44.05027778,"barley",462,2.66464197555613
"BRIDGE_HOR_13516",5.709444444,44.42222222,"barley",466,2.66838591669
"BRIDGE_BCC_49",5.783333333,35.8,"barley",290,2.46239799789896
"BRIDGE_HOR_13519",5.879444444,44.73194444,"barley",566,2.75281643118827
"BRIDGE_HOR_13520",5.934444444,44.80722222,"barley",NA,NA
"BRIDGE_HOR_13518",5.935277778,44.67944444,"barley",672,2.82736927305383
"BRIDGE_BCC_46",6,35.63333333,"barley",188,2.27415784926368
"BRIDGE_HOR_13521",6.5475,44.60611111,"barley",374,2.57287160220048
"BRIDGE_BCC_33",6.583333333,36.21666667,"barley",237,2.3747483460101
"BRIDGE_HOR_13522",6.591666667,44.71472222,"barley",442,2.64542226934909
"BRIDGE_HOR_13517",6.728888889,43.84583333,"barley",357,2.55266821611219
"BRIDGE_HOR_11116",7.193611111,45.14333333,"barley",441,2.64443858946784
"BRIDGE_HOR_11117",7.193611111,45.14333333,"barley",441,2.64443858946784
"BRIDGE_HOR_11118",7.193611111,45.14333333,"barley",441,2.64443858946784
"BRIDGE_HOR_11119",7.55,44.78305556,"barley",535,2.72835378202123
"BRIDGE_HOR_11125",7.55,44.78305556,"barley",535,2.72835378202123
"BRIDGE_HOR_12412",7.55,44.78305556,"barley",535,2.72835378202123
"BTR_FT411",7.851111111,46.31361111,"barley",633,2.80140371001736
"BRIDGE_HOR_11503",8.205,40.7625,"barley",332,2.52113808370404
"BRIDGE_HOR_11495",8.25,40.72972222,"barley",295,2.46982201597816
"BRIDGE_HOR_11496",8.25,40.725,"barley",433,2.63648789635337
"BRIDGE_HOR_11497",8.25,40.78972222,"barley",271,2.43296929087441
"BRIDGE_HOR_11498",8.25,40.795,"barley",331,2.51982799377572
"BRIDGE_HOR_13493",8.305555556,39.145,"barley",383,2.58319877396862
"BRIDGE_HOR_13490",8.383333333,39.1,"barley",269,2.42975228000241
"BRIDGE_HOR_11480",8.439722222,40.02194444,"barley",281,2.44870631990508
"BRIDGE_HOR_11481",8.439722222,40.01666667,"barley",289,2.46089784275655
"BRIDGE_HOR_11482",8.439722222,40.04694444,"barley",NA,NA
"BRIDGE_HOR_11483",8.439722222,39.95555556,"barley",269,2.42975228000241
"BRIDGE_HOR_11484",8.439722222,39.96666667,"barley",271,2.43296929087441
"BRIDGE_HOR_13462",8.439722222,40.02194444,"barley",281,2.44870631990508
"BRIDGE_HOR_12831",8.4575,39.66972222,"barley",NA,NA
"BRIDGE_HOR_11501",8.464166667,40.73388889,"barley",280,2.44715803134222
"BRIDGE_HOR_11499",8.566388889,40.18305556,"barley",339,2.53019969820308
"BRIDGE_HOR_11488",9.0775,39.39166667,"barley",249,2.39619934709574
"BRIDGE_HOR_11487",9.090555556,39.30027778,"barley",NA,NA
"BRIDGE_HOR_11491",9.1325,39.53333333,"barley",243,2.38560627359831
"BRIDGE_HOR_11504",9.1325,39.53333333,"barley",243,2.38560627359831
"BRIDGE_HOR_12711",9.1325,39.53333333,"barley",243,2.38560627359831
"BRIDGE_HOR_12712",9.1325,39.53333333,"barley",243,2.38560627359831
"BRIDGE_HOR_12795",9.1325,39.53333333,"barley",243,2.38560627359831
"BRIDGE_HOR_13466",9.1325,39.53333333,"barley",243,2.38560627359831
"BRIDGE_HOR_11490",9.169722222,39.47888889,"barley",222,2.34635297445064
"BRIDGE_HOR_11485",9.183611111,39.25,"barley",NA,NA
"BRIDGE_HOR_11486",9.183611111,39.26666667,"barley",228,2.35793484700045
"BRIDGE_HOR_11489",9.305833333,39.49805556,"barley",384,2.58433122436753
"BRIDGE_HOR_11502",9.349166667,40.50138889,"barley",389,2.58994960132571
"BRIDGE_HOR_12794",9.349166667,40.50138889,"barley",389,2.58994960132571
"BRIDGE_HOR_11492",9.351944444,39.62416667,"barley",415,2.61804809671209
"BRIDGE_HOR_11493",9.625,39.79638889,"barley",328,2.51587384371168
