"Lines","Long","Lat","crop","n_value","log_n"
"PI526387",29.7,-16.8,"pearl_millet",95,1.97772360528885
"PI526339",32.16666667,-18.7,"pearl_millet",110,2.04139268515822
"PI526300",31.88333333,-19.28333333,"pearl_millet",114,2.05690485133647
"PI526301",31.88333333,-19.28333333,"pearl_millet",114,2.05690485133647
"PI526302",31.88333333,-19.28333333,"pearl_millet",114,2.05690485133647
"PI526303",31.88333333,-19.28333333,"pearl_millet",114,2.05690485133647
"PI526304",31.88333333,-19.28333333,"pearl_millet",114,2.05690485133647
"PI526305",31.88333333,-19.28333333,"pearl_millet",114,2.05690485133647
"PI526277",31.45,-19.33333333,"pearl_millet",96,1.98227123303957
"PI526278",31.45,-19.33333333,"pearl_millet",96,1.98227123303957
"PI526279",31.45,-19.33333333,"pearl_millet",96,1.98227123303957
"PI526280",31.45,-19.33333333,"pearl_millet",96,1.98227123303957
"PI526281",31.45,-19.33333333,"pearl_millet",96,1.98227123303957
"PI526282",31.45,-19.33333333,"pearl_millet",96,1.98227123303957
"PI526283",31.45,-19.38333333,"pearl_millet",90,1.95424250943932
"PI526285",31.45,-19.38333333,"pearl_millet",90,1.95424250943932
"PI526286",31.45,-19.38333333,"pearl_millet",90,1.95424250943932
"PI526272",31.58333333,-19.41666667,"pearl_millet",110,2.04139268515822
"PI526273",31.58333333,-19.41666667,"pearl_millet",110,2.04139268515822
"PI526274",31.58333333,-19.41666667,"pearl_millet",110,2.04139268515822
"PI526275",31.58333333,-19.41666667,"pearl_millet",110,2.04139268515822
"PI526276",31.58333333,-19.41666667,"pearl_millet",110,2.04139268515822
"PI526313",31.75,-19.43333333,"pearl_millet",100,2
"PI526314",31.75,-19.43333333,"pearl_millet",100,2
"PI526315",31.75,-19.46666667,"pearl_millet",103,2.01283722470517
"PI526293",31.63333333,-19.5,"pearl_millet",104,2.01703333929878
"PI526294",31.63333333,-19.5,"pearl_millet",104,2.01703333929878
"PI526295",31.63333333,-19.5,"pearl_millet",104,2.01703333929878
"PI526270",31.8,-19.5,"pearl_millet",111,2.04532297878666
"PI526271",31.8,-19.5,"pearl_millet",111,2.04532297878666
"PI526296",31.63333333,-19.51666667,"pearl_millet",100,2
"PI526297",31.63333333,-19.51666667,"pearl_millet",100,2
"PI526298",31.63333333,-19.51666667,"pearl_millet",100,2
"PI526299",31.63333333,-19.51666667,"pearl_millet",100,2
"PI526337",31.21666667,-19.63333333,"pearl_millet",105,2.02118929906994
"PI526287",31.5,-19.63333333,"pearl_millet",110,2.04139268515822
"PI526288",31.5,-19.63333333,"pearl_millet",110,2.04139268515822
"PI526289",31.5,-19.63333333,"pearl_millet",110,2.04139268515822
"PI526290",31.5,-19.63333333,"pearl_millet",110,2.04139268515822
"PI526292",31.58333333,-19.63333333,"pearl_millet",88,1.94448267215017
"PI526291",31.8,-19.71666667,"pearl_millet",89,1.94939000664491
"PI526340",31.8,-19.71666667,"pearl_millet",89,1.94939000664491
"PI526341",31.8,-19.71666667,"pearl_millet",89,1.94939000664491
"PI526342",31.8,-19.71666667,"pearl_millet",89,1.94939000664491
"PI526343",31.8,-19.71666667,"pearl_millet",89,1.94939000664491
"PI526344",31.8,-19.71666667,"pearl_millet",89,1.94939000664491
"PI526345",31.8,-19.71666667,"pearl_millet",89,1.94939000664491
"PI526268",30.78333333,-19.88333333,"pearl_millet",87,1.93951925261862
"PI526269",30.78333333,-19.88333333,"pearl_millet",87,1.93951925261862
"PI526306",32.33333333,-19.91666667,"pearl_millet",104,2.01703333929878
"PI526307",32.33333333,-19.91666667,"pearl_millet",104,2.01703333929878
"PI526308",32.33333333,-19.91666667,"pearl_millet",104,2.01703333929878
"PI526309",32.33333333,-19.91666667,"pearl_millet",104,2.01703333929878
"PI526310",32.33333333,-19.91666667,"pearl_millet",104,2.01703333929878
"PI526311",32.33333333,-19.91666667,"pearl_millet",104,2.01703333929878
"PI526312",32.33333333,-19.91666667,"pearl_millet",104,2.01703333929878
"PI526336",31.05,-20.25,"pearl_millet",154,2.18752072083646
"PI526328",30.08333333,-20.33333333,"pearl_millet",107,2.02938377768521
"PI526329",30.08333333,-20.33333333,"pearl_millet",107,2.02938377768521
"PI526330",30.08333333,-20.33333333,"pearl_millet",107,2.02938377768521
"PI526331",30.08333333,-20.33333333,"pearl_millet",107,2.02938377768521
"PI526332",30.08333333,-20.33333333,"pearl_millet",107,2.02938377768521
"PI526333",30.08333333,-20.33333333,"pearl_millet",107,2.02938377768521
"PI526334",30.7,-20.41666667,"pearl_millet",123,2.0899051114394
"PI526335",30.7,-20.41666667,"pearl_millet",123,2.0899051114394
"PI526316",30.75,-20.75,"pearl_millet",147,2.16731733474818
"PI526318",30.75,-20.75,"pearl_millet",147,2.16731733474818
"PI526319",30.75,-20.9,"pearl_millet",126,2.10037054511756
"PI526320",30.75,-20.9,"pearl_millet",126,2.10037054511756
"PI526321",30.75,-20.9,"pearl_millet",126,2.10037054511756
"PI526322",30.75,-20.9,"pearl_millet",126,2.10037054511756
"PI526324",30.63333333,-20.93333333,"pearl_millet",112,2.04921802267018
"PI526325",30.63333333,-20.93333333,"pearl_millet",112,2.04921802267018
"PI526326",30.63333333,-20.93333333,"pearl_millet",112,2.04921802267018
"PI526327",30.63333333,-20.93333333,"pearl_millet",112,2.04921802267018
"PI511045",43.81666667,13.58333333,"pearl_millet",250,2.39794000867204
"PI511025",44.01666667,13.58333333,"pearl_millet",NA,NA
