"Lines","Long","Lat","crop","BIO01","BIO02","BIO03","BIO04","BIO05","BIO06","BIO07","BIO08","BIO09","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19","PC1","PC2","PC3"
"SEEDGWAS10:MRG:4:250054453",-96.87067,19.938631,"maize",22.6289577484131,8.91441631317139,54.6310195922852,275.654846191406,30.1909999847412,13.8734998703003,16.3175010681152,24.3313331604004,19.4470825195312,25.4044990539551,18.8278751373291,1872,322,77,49.0231475830078,749,250,513,288,-3.4226352057962,-2.08819201257036,-1.8917684564402
"SEEDGWAS1000:MRG:4:250067677",-99.634229,21.83299,"maize",21.9362087249756,14.0141248703003,57.2232818603516,336.860412597656,33.8264999389648,9.33625030517578,24.4902496337891,24.2625007629395,18.8121662139893,25.4915828704834,17.3647918701172,761,181,9,89.0367279052734,413,39,279,44,0.474414312857429,1.80355537501066,-1.26639411771791
"SEEDGWAS1001:MRG:4:250067678",-99.653771,22.023366,"maize",20.4910621643066,14.1345834732056,59.2694664001465,299.464202880859,32.3230018615723,8.47500038146973,23.8480014801025,22.415958404541,17.7216663360596,23.6499176025391,16.410249710083,553,125,6,87.8950500488281,298,30,213,31,1.42447242757996,1.40583486754303,-0.887447893631223
"SEEDGWAS1003:MRG:4:250067679",-89.732539,20.485433,"maize",25.599458694458,14.276707649231,66.8385162353516,209.066162109375,36.327751159668,14.9677495956421,21.3600006103516,26.9116249084473,23.6140823364258,27.7914581298828,22.7277088165283,1109,200,23,72.9357757568359,542,82,284,85,-2.13699382194348,2.23419911203966,-0.734074661915783
"SEEDGWAS1004:MRG:4:250067680",-97.382255,20.969048,"maize",24.1725616455078,9.43150043487549,51.969913482666,333.438629150391,32.6897506713867,14.5417499542236,18.1480007171631,27.2032508850098,20.5567073822021,27.6149578094482,19.5921669006348,1235,254,28,68.9897384643555,567,103,488,132,-2.34068580739461,0.725394769842284,-1.8631183512018
"SEEDGWAS1006:MRG:4:250067682",-57.309104,-23.267981,"maize",23.7528648376465,11.8266038894653,57.6352233886719,331.765930175781,33.3945007324219,12.8747501373291,20.5197505950928,27.0810832977295,19.5237083435059,27.4755840301514,19.5237083435059,1364,172,38,40.0840950012207,492,153,445,153,-1.93176368415593,0.305819729438975,-2.44154494865045
"SEEDGWAS1007:MRG:4:250067684",-62.46666667,8.433333333,"maize",26.1174278259277,9.60385417938232,80.0421142578125,66.7699432373047,32.3585014343262,20.3600006103516,11.9985008239746,25.7597503662109,25.6863746643066,26.8709163665771,25.3282508850098,1348,237,33,56.6024513244629,608,123,218,189,-4.20534100743658,0.562801175162714,1.01555872087205
"SEEDGWAS1008:MRG:4:250067716",-74.91666667,3.85,"maize",27.5012187957764,10.6131868362427,84.4377212524414,47.6828918457031,34.4254989624023,21.8562507629395,12.5692481994629,27.3412494659424,27.7837505340576,28.0580825805664,26.9984588623047,1827,269,49,45.2890243530273,656,243,287,634,-6.17152984681248,-0.265126462538382,0.311187323882504
"SEEDGWAS1009:MRG:4:250067717",-88.05,19.58333333,"maize",26.0585632324219,11.6218757629395,70.5189514160156,171.391799926758,33.9384994506836,17.4580001831055,16.4804992675781,27.1788330078125,25.2015838623047,27.7676677703857,23.7056255340576,1259,211,37,56.5730972290039,534,126,455,152,-3.545956464577,1.04229689853288,-0.54276088028357
"SEEDGWAS101:MRG:4:250054517",-97.382222,20.43027778,"maize",23.7574062347412,9.91914558410645,53.6336784362793,321.266845703125,32.6592483520508,14.164999961853,18.4942474365234,25.664041519165,20.2937088012695,27.1268749237061,19.3548755645752,1486,275,53,54.6776885986328,632,166,420,198,-2.66736437354223,-0.288805465587461,-2.13496423087275
"SEEDGWAS1011:MRG:4:250067718",-92.564373,16.332904,"maize",24.4225311279297,12.9951877593994,65.5718154907227,164.108352661133,34.335750579834,14.5174999237061,19.8182506561279,24.916166305542,22.2932910919189,26.4127502441406,22.2932910919189,1354,294,3,100.701683044434,731,13,435,13,-2.18655647479572,2.05000811931727,0.870042865977617
"SEEDGWAS1012:MRG:4:250067719",-92.564373,16.332904,"maize",24.4225311279297,12.9951877593994,65.5718154907227,164.108352661133,34.335750579834,14.5174999237061,19.8182506561279,24.916166305542,22.2932910919189,26.4127502441406,22.2932910919189,1354,294,3,100.701683044434,731,13,435,13,-2.18655647479572,2.05000811931727,0.870042865977617
"SEEDGWAS1014:MRG:4:250067720",-98.38333333,21.51666667,"maize",24.7313861846924,11.7974376678467,52.315055847168,388.124481201172,35.3460006713867,12.7952499389648,22.5507507324219,27.8507080078125,20.7040004730225,28.6483345031738,19.3583755493164,1150,239,23,73.82568359375,554,87,426,107,-1.73156335670258,1.76023829787037,-2.34312435491114
"SEEDGWAS1015:MRG:4:250067721",-99.537659,17.167363,"maize",25.3382396697998,11.912896156311,72.7371826171875,115.585655212402,33.4957504272461,17.1177501678467,16.3780002593994,26.0301246643066,25.4769992828369,26.7962074279785,23.8524589538574,1482,329,3,115.884284973145,929,14,374,26,-3.38354027369617,2.21859578649502,2.042486405086
