,rice_cec
IRGC_58278,252
IRIS_313-9783,252
IRGC_117281,207
IRGC_25897,186
IRGC_25924,207
IRGC_27513,NA
IRGC_29066,207
IRGC_32565,207
IRGC_6208,207
IRGC_6588,207
IRGC_6590,207
IRGC_66792,177
IRGC_8341,207
IRIS_313-10587,207
IRIS_313-10592,207
IRIS_313-10593,207
IRIS_313-10594,207
IRIS_313-10595,207
IRIS_313-10598,207
IRIS_313-10600,207
IRIS_313-10602,207
IRIS_313-10603,207
IRIS_313-10604,207
IRIS_313-10605,207
IRIS_313-10606,207
IRIS_313-10963,185
IRIS_313-10964,207
IRIS_313-10965,185
IRIS_313-10971,207
IRIS_313-10972,207
IRIS_313-10973,207
IRIS_313-10974,207
IRIS_313-10975,207
IRIS_313-10976,207
IRIS_313-10977,207
IRIS_313-10978,207
IRIS_313-10979,207
IRIS_313-10980,207
IRIS_313-10981,207
IRIS_313-10982,207
IRIS_313-10983,207
IRIS_313-10984,207
IRIS_313-10985,207
IRIS_313-10986,207
IRIS_313-10987,207
IRIS_313-11013,207
IRIS_313-11014,172
IRIS_313-11015,207
IRIS_313-11016,207
IRIS_313-11017,207
IRIS_313-11018,207
IRIS_313-11019,207
IRIS_313-11047,207
IRIS_313-11048,207
IRIS_313-11049,207
IRIS_313-11051,207
IRIS_313-11052,207
IRIS_313-11053,207
IRIS_313-11054,207
IRIS_313-11055,207
IRIS_313-11056,207
IRIS_313-11057,207
IRIS_313-11058,207
IRIS_313-11059,207
IRIS_313-11060,207
IRIS_313-11061,207
IRIS_313-11062,207
IRIS_313-11063,207
IRIS_313-11064,207
IRIS_313-11065,207
IRIS_313-11066,207
IRIS_313-11067,207
IRIS_313-11068,207
IRIS_313-11069,207
IRIS_313-11070,207
IRIS_313-11111,207
IRIS_313-11112,207
IRIS_313-11113,207
IRIS_313-11114,207
IRIS_313-11115,207
IRIS_313-11116,207
IRIS_313-11123,207
IRIS_313-11124,207
IRIS_313-11154,207
IRIS_313-11163,207
IRIS_313-11203,194
IRIS_313-11204,194
IRIS_313-11205,NA
IRIS_313-11206,194
IRIS_313-11207,194
IRIS_313-11208,202
IRIS_313-11209,194
IRIS_313-11210,178
IRIS_313-11211,188
IRIS_313-11212,NA
IRIS_313-11213,NA
IRIS_313-11214,192
IRIS_313-11216,207
IRIS_313-11219,207
IRIS_313-11220,207
IRIS_313-11222,207
IRIS_313-11223,207
IRIS_313-11224,207
IRIS_313-11225,207
IRIS_313-11226,207
IRIS_313-11227,207
IRIS_313-11228,207
IRIS_313-11229,207
IRIS_313-11230,207
IRIS_313-11231,207
IRIS_313-11321,NA
IRIS_313-11322,192
IRIS_313-11323,NA
IRIS_313-11324,NA
IRIS_313-11399,191
IRIS_313-11400,193
IRIS_313-11401,NA
IRIS_313-11402,205
IRIS_313-11404,NA
IRIS_313-11481,182
IRIS_313-11482,175
IRIS_313-11483,208
IRIS_313-11484,179
IRIS_313-11486,182
IRIS_313-11487,NA
IRIS_313-11557,207
IRIS_313-11558,207
IRIS_313-11722,167
IRIS_313-11945,195
IRIS_313-11964,195
IRIS_313-11982,186
IRIS_313-12002,194
IRIS_313-12055,191
IRIS_313-12094,NA
IRIS_313-12141,221
IRIS_313-8252,207
IRIS_313-8283,208
IRIS_313-8349,NA
IRIS_313-8410,181
IRIS_313-8437,191
IRIS_313-8509,199
IRIS_313-8632,178
IRIS_313-8641,207
IRIS_313-8683,168
IRIS_313-8703,207
IRIS_313-8717,172
IRIS_313-8721,201
IRIS_313-8733,NA
IRIS_313-8737,207
IRIS_313-8789,180
IRIS_313-8822,207
IRIS_313-8850,172
IRIS_313-8854,196
IRIS_313-8864,201
IRIS_313-8930,188
IRIS_313-8932,192
IRIS_313-8963,205
IRIS_313-9049,207
IRIS_313-9067,207
IRIS_313-9072,207
IRIS_313-9108,NA
IRIS_313-9139,207
IRIS_313-9174,207
IRIS_313-9218,196
IRIS_313-9262,207
IRIS_313-9271,172
IRIS_313-9325,202
IRIS_313-9368,207
IRIS_313-9391,208
IRIS_313-9397,207
IRIS_313-9422,207
IRIS_313-9445,188
IRIS_313-9594,218
IRIS_313-9606,207
IRIS_313-9617,207
IRIS_313-9626,207
IRIS_313-9661,188
IRIS_313-9682,207
IRIS_313-9696,218
IRGC_32390,205
IRIS_313-11120,176
IRIS_313-11661,256
IRIS_313-11690,236
IRIS_313-11691,221
IRIS_313-11743,210
IRIS_313-12138,238
IRIS_313-8302,221
IRIS_313-8486,240
IRIS_313-8519,244
IRIS_313-8637,208
IRIS_313-8765,210
IRIS_313-8814,217
IRIS_313-8815,235
IRIS_313-8857,229
IRIS_313-9048,229
IRIS_313-9404,193
IRIS_313-9506,193
IRIS_313-9529,257
IRIS_313-9572,240
IRIS_313-11989,NA
IRIS_313-9574,208
IRIS_313-10557,215
IRIS_313-10648,215
IRIS_313-10898,NA
IRIS_313-10899,215
IRIS_313-10900,215
IRIS_313-10901,215
IRIS_313-10902,NA
IRIS_313-10903,169
IRIS_313-10904,NA
IRIS_313-10905,NA
IRIS_313-10906,NA
IRIS_313-10907,NA
IRIS_313-10908,215
IRIS_313-10909,NA
IRIS_313-10910,169
IRIS_313-10911,NA
IRIS_313-10912,NA
IRIS_313-10913,169
IRIS_313-10915,NA
IRIS_313-10916,NA
IRIS_313-11084,NA
IRIS_313-11087,NA
IRIS_313-11088,206
IRIS_313-11089,215
IRIS_313-11935,215
IRIS_313-11936,215
IRIS_313-11997,195
IRIS_313-11998,248
IRIS_313-11999,168
IRIS_313-12000,193
IRIS_313-12036,196
IRIS_313-12037,187
IRIS_313-12038,225
IRIS_313-12039,160
IRIS_313-12040,177
IRIS_313-12041,225
IRIS_313-12042,185
IRIS_313-12043,184
IRIS_313-12044,249
IRIS_313-12058,204
IRIS_313-12096,219
IRIS_313-12097,NA
IRIS_313-12101,NA
IRIS_313-12102,248
IRIS_313-12109,149
IRIS_313-12142,212
IRIS_313-12143,176
IRIS_313-12146,210
IRIS_313-12147,164
IRIS_313-12148,185
IRIS_313-12151,201
IRIS_313-12152,217
IRIS_313-12161,179
IRIS_313-12164,205
IRIS_313-12246,169
IRIS_313-12247,185
IRIS_313-12249,199
IRIS_313-12251,169
IRIS_313-9249,NA
IRGC_117269,189
IRGC_117271,189
IRGC_117277,189
IRGC_117280,189
IRGC_1427,189
IRGC_4541,189
IRGC_4860,189
IRGC_4887,189
IRGC_51400,189
IRGC_53437,189
IRGC_59673,189
IRGC_59849,189
IRGC_59930,189
IRGC_59932,189
IRGC_63544,194
IRGC_63726,194
IRGC_67034,189
IRGC_67096,189
IRGC_68159,243
IRGC_752,189
IRGC_8195,189
IRGC_8266,189
IRIS_313-10129,189
IRIS_313-10177,189
IRIS_313-10211,189
IRIS_313-10221,189
IRIS_313-10228,215
IRIS_313-10239,215
IRIS_313-10450,189
IRIS_313-10453,189
IRIS_313-10497,189
IRIS_313-10502,189
IRIS_313-10503,189
IRIS_313-10504,189
IRIS_313-10558,189
IRIS_313-10559,189
IRIS_313-10560,189
IRIS_313-10561,189
IRIS_313-10562,189
IRIS_313-11038,NA
IRIS_313-11522,198
IRIS_313-11651,189
IRIS_313-11652,189
IRIS_313-11653,189
IRIS_313-11654,189
IRIS_313-11655,189
IRIS_313-11744,243
IRIS_313-11745,243
IRIS_313-11852,NA
IRIS_313-11853,NA
IRIS_313-11947,189
IRIS_313-11948,189
IRIS_313-11949,189
IRIS_313-11950,189
IRIS_313-11951,189
IRIS_313-11952,189
IRIS_313-11953,189
IRIS_313-11954,189
IRIS_313-11955,189
IRIS_313-11965,189
IRIS_313-11966,189
IRIS_313-11967,189
IRIS_313-11968,189
IRIS_313-12007,189
IRIS_313-12009,189
IRIS_313-12010,189
IRIS_313-12011,189
IRIS_313-12012,189
IRIS_313-12059,198
IRIS_313-12060,198
IRIS_313-12061,198
IRIS_313-12273,NA
IRIS_313-12275,215
IRIS_313-8380,189
IRIS_313-8645,189
IRIS_313-9017,189
IRIS_313-9204,189
IRIS_313-9324,189
IRIS_313-9372,189
IRIS_313-9469,189
IRIS_313-9555,189
IRIS_313-9730,243
IRIS_313-10614,NA
IRGC_117267,283
IRGC_117398,283
IRGC_117617,167
IRGC_12331,203
IRGC_12386,203
IRGC_12894,283
IRGC_13746,177
IRGC_177,283
IRGC_32559,283
IRGC_32561,283
IRGC_34962,161
IRGC_3697,283
IRGC_42469,159
IRGC_46202,283
IRGC_46531,283
IRGC_46768,283
IRGC_53931,283
IRGC_5999,283
IRGC_6264,283
IRGC_6274,283
IRGC_6298,283
IRGC_6307,283
IRGC_6331,283
IRGC_72479,283
IRGC_74719,427
IRGC_74777,232
IRGC_77530,271
IRGC_7919,283
IRGC_8896,283
IRGC_9062,283
IRGC_9069,283
IRGC_9070,283
IRGC_9091,283
IRGC_9175,283
IRGC_9177,283
IRGC_9179,283
IRIS_313-10150,283
IRIS_313-10628,283
IRIS_313-10664,210
IRIS_313-10666,159
IRIS_313-10667,203
IRIS_313-10668,203
IRIS_313-10670,203
IRIS_313-10671,NA
IRIS_313-10673,NA
IRIS_313-10674,NA
IRIS_313-10675,NA
IRIS_313-10676,NA
IRIS_313-10845,NA
IRIS_313-10847,210
IRIS_313-10848,221
IRIS_313-10849,203
IRIS_313-10850,203
IRIS_313-10851,203
IRIS_313-10852,203
IRIS_313-10853,203
IRIS_313-10854,203
IRIS_313-10855,203
IRIS_313-10856,NA
IRIS_313-10857,NA
IRIS_313-10858,NA
IRIS_313-10859,NA
IRIS_313-10861,203
IRIS_313-10862,203
IRIS_313-10863,179
IRIS_313-10864,203
IRIS_313-10865,210
IRIS_313-10866,210
IRIS_313-10867,180
IRIS_313-10868,180
IRIS_313-10869,159
IRIS_313-10870,159
IRIS_313-11041,304
IRIS_313-11042,302
IRIS_313-11164,182
IRIS_313-11166,161
IRIS_313-11167,NA
IRIS_313-11169,197
IRIS_313-11360,283
IRIS_313-11371,283
IRIS_313-11403,304
IRIS_313-11414,283
IRIS_313-11442,283
IRIS_313-11443,283
IRIS_313-11445,154
IRIS_313-11446,177
IRIS_313-11447,177
IRIS_313-11448,NA
IRIS_313-11449,NA
IRIS_313-11451,360
IRIS_313-11452,354
IRIS_313-11453,NA
IRIS_313-11454,NA
IRIS_313-11455,NA
IRIS_313-11456,NA
IRIS_313-11458,283
IRIS_313-11460,283
IRIS_313-11461,283
IRIS_313-11462,213
IRIS_313-11489,146
IRIS_313-11490,217
IRIS_313-11492,283
IRIS_313-11493,178
IRIS_313-11494,221
IRIS_313-11505,283
IRIS_313-11506,283
IRIS_313-11595,369
IRIS_313-11596,244
IRIS_313-11597,404
IRIS_313-11598,394
IRIS_313-11599,348
IRIS_313-11600,380
IRIS_313-11602,420
IRIS_313-11603,344
IRIS_313-11604,390
IRIS_313-11606,404
IRIS_313-11607,404
IRIS_313-11616,201
IRIS_313-11617,201
IRIS_313-11618,201
IRIS_313-11619,201
IRIS_313-11620,201
IRIS_313-11621,201
IRIS_313-11636,283
IRIS_313-11638,283
IRIS_313-11639,283
IRIS_313-11640,283
IRIS_313-11641,283
IRIS_313-11642,283
