,barley_PC1,barley_PC2,barley_PC3
BRIDGE_HOR_12516,-2.826495561,-1.200839609,0.293244092
BRIDGE_HOR_12779,-2.826495561,-1.200839609,0.293244092
BRIDGE_HOR_12780,-2.826495561,-1.200839609,0.293244092
BRIDGE_BCC_1576,NA,NA,NA
BRIDGE_HOR_13419,-2.471294838,-2.645727001,1.311866237
BRIDGE_HOR_13418,-2.471294838,-2.645727001,1.311866237
BRIDGE_HOR_13420,-0.993431913,-2.095666026,0.591431553
BRIDGE_HOR_12820,-3.093691931,-1.152386169,0.080424384
BRIDGE_HOR_13423,-2.397197765,-3.100707398,1.368937236
BRIDGE_HOR_13414,-1.326157395,-2.406503335,0.554446403
BRIDGE_HOR_13415,-1.326157395,-2.406503335,0.554446403
BRIDGE_HOR_13416,-0.659120639,-1.620899687,0.278493238
BRIDGE_HOR_13417,-0.659120639,-1.620899687,0.278493238
BRIDGE_HOR_13412,-1.586917654,-3.082155367,0.645347852
BRIDGE_HOR_13413,-1.586917654,-3.082155367,0.645347852
BRIDGE_BCC_137,-0.27585373,-2.418427008,0.344688316
BRIDGE_HOR_13425,-1.418931031,-3.018389385,0.619457351
BRIDGE_HOR_13424,-1.00426585,-2.679704195,0.333604208
BRIDGE_HOR_13447,-1.00426585,-2.679704195,0.333604208
BRIDGE_HOR_13436,-1.239701449,-3.07878167,0.514607159
BRIDGE_HOR_13437,-1.239701449,-3.07878167,0.514607159
BRIDGE_HOR_13427,-0.776081591,-2.659330233,0.345588893
BRIDGE_HOR_13428,-0.776081591,-2.659330233,0.345588893
BRIDGE_HOR_13429,-0.776081591,-2.659330233,0.345588893
BRIDGE_HOR_13430,-0.776081591,-2.659330233,0.345588893
BRIDGE_HOR_13431,-0.776081591,-2.659330233,0.345588893
BRIDGE_HOR_13432,-0.776081591,-2.659330233,0.345588893
BRIDGE_HOR_13433,-0.776081591,-2.659330233,0.345588893
BRIDGE_HOR_13434,-0.776081591,-2.659330233,0.345588893
BRIDGE_HOR_13426,0.26288775,-2.1023952,0.299773217
BRIDGE_HOR_13438,0.26288775,-2.1023952,0.299773217
BRIDGE_HOR_8841,-2.211959229,-2.413489683,0.533803293
BRIDGE_BCC_140,-0.661118837,-4.228865419,0.732647947
BRIDGE_HOR_8849,-2.026240297,-1.64279494,-0.44612975
BRIDGE_HOR_8850,-2.026240297,-1.64279494,-0.44612975
BRIDGE_BCC_152,-2.673580883,-1.970010497,0.913359481
BRIDGE_HOR_8851,-1.982249015,-0.382468523,-1.166889711
BRIDGE_HOR_13443,-2.26170633,-2.322954884,0.811153322
BRIDGE_HOR_8848,-1.219772237,-2.213975471,-0.218663561
BRIDGE_HOR_8846,-1.121802895,-2.038758499,-0.304776762
BRIDGE_HOR_13442,-2.046896737,-2.81479239,0.636280223
BRIDGE_HOR_13446,-2.794348565,-2.583107155,0.452545109
BRIDGE_HOR_13444,-2.794348565,-2.583107155,0.452545109
BRIDGE_HOR_13445,-2.794348565,-2.583107155,0.452545109
BRIDGE_BCC_141,0.653502913,-2.606365763,0.170593836
BRIDGE_HOR_13441,-0.82765265,-2.425133379,0.387501859
BRIDGE_HOR_8852,-0.368892289,0.029846313,-1.436767454
BRIDGE_HOR_13439,0.354718917,-2.387721254,0.066471301
BRIDGE_HOR_13440,-1.430645545,-2.967274909,0.55484781
BRIDGE_HOR_12522,-0.661291616,-4.6965998,0.306674136
BRIDGE_HOR_12821,-0.661291616,-4.6965998,0.306674136
BRIDGE_BCC_162,-2.259680986,-2.392378024,0.149380394
BRIDGE_HOR_11644,-2.132376412,1.886687668,-2.924631553
BRIDGE_HOR_13460,-1.049956224,-2.503059174,0.232233395
BRIDGE_HOR_13461,-1.049956224,-2.503059174,0.232233395
BRIDGE_HOR_11646,-1.719268965,1.682638967,-2.99024377
BRIDGE_HOR_11665,-1.387844376,2.201530434,-3.137752802
BRIDGE_HOR_12019,-1.387844376,2.201530434,-3.137752802
BRIDGE_HOR_12045,-1.387844376,2.201530434,-3.137752802
BRIDGE_HOR_12047,-1.387844376,2.201530434,-3.137752802
BRIDGE_HOR_12048,-1.387844376,2.201530434,-3.137752802
BRIDGE_HOR_12073,-1.387844376,2.201530434,-3.137752802
BRIDGE_HOR_12316,-1.387844376,2.201530434,-3.137752802
BRIDGE_HOR_12317,-1.387844376,2.201530434,-3.137752802
BRIDGE_HOR_12318,-1.387844376,2.201530434,-3.137752802
BRIDGE_HOR_12319,-1.387844376,2.201530434,-3.137752802
BRIDGE_HOR_12320,-1.387844376,2.201530434,-3.137752802
BRIDGE_HOR_12322,-1.387844376,2.201530434,-3.137752802
BRIDGE_HOR_12323,-1.387844376,2.201530434,-3.137752802
BRIDGE_HOR_12324,-1.387844376,2.201530434,-3.137752802
BRIDGE_HOR_12325,-1.387844376,2.201530434,-3.137752802
BRIDGE_HOR_12326,-1.387844376,2.201530434,-3.137752802
BRIDGE_HOR_12331,-1.387844376,2.201530434,-3.137752802
BRIDGE_HOR_12332,-1.387844376,2.201530434,-3.137752802
BRIDGE_HOR_12334,-1.387844376,2.201530434,-3.137752802
BRIDGE_BCC_134,-0.519914125,-4.426702944,0.301945025
BRIDGE_HOR_11645,-0.680771542,0.873819007,-2.127454379
BTR_FT521,-1.710029456,-1.047781385,-1.402727945
BRIDGE_BCC_37,-0.198703971,-2.798778528,-0.258003615
BRIDGE_HOR_13515,-0.915990066,0.864443465,-1.97389545
BRIDGE_HOR_13516,-0.837973313,0.754353407,-2.12057462
BRIDGE_BCC_49,-0.146695049,-1.913729679,-0.622284389
BRIDGE_HOR_13519,-0.628599221,2.348264205,-3.187806023
BRIDGE_HOR_13520,-0.628599221,2.348264205,-3.187806023
BRIDGE_HOR_13518,-0.628599221,2.348264205,-3.187806023
BRIDGE_BCC_46,-0.085764109,-1.699455063,-0.770349876
BRIDGE_HOR_13521,-0.181790518,2.183430002,-3.013994435
BRIDGE_BCC_33,-1.054727969,-2.452567405,-0.255607095
BRIDGE_HOR_13522,-0.158397565,2.566923125,-3.343341223
BRIDGE_HOR_13517,-1.046542444,0.654374601,-2.100348615
BRIDGE_HOR_11116,-0.535461351,2.057106788,-2.93778136
BRIDGE_HOR_11117,-0.535461351,2.057106788,-2.93778136
BRIDGE_HOR_11118,-0.535461351,2.057106788,-2.93778136
BRIDGE_HOR_11119,-0.739829383,0.14214445,-1.753881162
BRIDGE_HOR_11125,-0.739829383,0.14214445,-1.753881162
BRIDGE_HOR_12412,-0.739829383,0.14214445,-1.753881162
BTR_FT411,0.779378218,3.028389322,-3.350813996
BRIDGE_HOR_11503,-2.391103629,-1.413259098,-0.55242056
BRIDGE_HOR_11495,-2.391103629,-1.413259098,-0.55242056
BRIDGE_HOR_11496,-2.391103629,-1.413259098,-0.55242056
