"species","gene","pvalue"
"Arabidopsis","AT1G13860",9.333814e-20
"Arabidopsis","AT1G13870",9.333814e-20
"Arabidopsis","AT1G13880",9.333814e-20
"Arabidopsis","AT1G13890",9.333814e-20
"Arabidopsis","AT1G13900",9.333814e-20
"Arabidopsis","AT1G13910",9.333814e-20
"Arabidopsis","AT1G13920",9.333814e-20
"Arabidopsis","AT1G13930",9.333814e-20
"Arabidopsis","AT1G13940",9.333814e-20
"Arabidopsis","AT1G13950",9.333814e-20
"Arabidopsis","AT1G13960",9.333814e-20
"Arabidopsis","AT1G13970",9.333814e-20
"Arabidopsis","AT1G13980",9.333814e-20
"Arabidopsis","AT1G13850",1.402489e-19
"Arabidopsis","AT5G23010",6.309983e-19
"Arabidopsis","AT5G23020",6.309983e-19
"Arabidopsis","AT5G23027",6.309983e-19
"Arabidopsis","AT5G23030",6.309983e-19
"Arabidopsis","AT5G23035",6.309983e-19
"Arabidopsis","AT5G23040",6.309983e-19
"Arabidopsis","AT5G23050",6.309983e-19
"Arabidopsis","AT5G23060",6.309983e-19
"Arabidopsis","AT5G23065",6.309983e-19
"Arabidopsis","AT5G23070",6.309983e-19
"Arabidopsis","AT5G23080",6.309983e-19
"Arabidopsis","AT5G23090",6.309983e-19
"Arabidopsis","AT5G23100",6.309983e-19
"Arabidopsis","AT3G20580",1.093255e-17
"Arabidopsis","AT3G20590",1.093255e-17
"Arabidopsis","AT3G20600",1.093255e-17
"Arabidopsis","AT3G20610",1.093255e-17
"Arabidopsis","AT3G20620",1.093255e-17
"Arabidopsis","AT3G20630",1.093255e-17
"Arabidopsis","AT3G20640",1.093255e-17
"Arabidopsis","AT3G20650",1.093255e-17
"Arabidopsis","AT3G20655",1.093255e-17
"Arabidopsis","AT3G20660",1.093255e-17
"Arabidopsis","AT3G20670",1.093255e-17
"Arabidopsis","AT3G20680",1.093255e-17
"Arabidopsis","AT3G20690",1.093255e-17
"Arabidopsis","AT3G20700",1.093255e-17
"Arabidopsis","AT3G20710",1.093255e-17
"Arabidopsis","AT1G14040",2.13946e-17
"Arabidopsis","AT1G14048",2.13946e-17
"Arabidopsis","AT1G14060",2.13946e-17
"Arabidopsis","AT1G14070",2.13946e-17
"Arabidopsis","AT1G14071",2.13946e-17
"Arabidopsis","AT1G14080",2.13946e-17
"Arabidopsis","AT1G14100",2.13946e-17
"Arabidopsis","AT1G14110",2.13946e-17
"Arabidopsis","AT1G14120",2.13946e-17
"Arabidopsis","AT1G14130",2.13946e-17
"Arabidopsis","AT1G14140",2.13946e-17
"Arabidopsis","AT1G14150",2.13946e-17
"Arabidopsis","AT1G14160",2.13946e-17
"Arabidopsis","AT1G14170",2.13946e-17
"Arabidopsis","AT1G14180",2.13946e-17
"Arabidopsis","AT1G14185",2.13946e-17
"Arabidopsis","AT1G14190",2.13946e-17
"Arabidopsis","AT1G14200",2.13946e-17
"Arabidopsis","AT1G14205",2.13946e-17
"Arabidopsis","AT1G14210",2.13946e-17
"Arabidopsis","AT1G14220",2.13946e-17
"Arabidopsis","AT1G14225",4.296464e-17
"Arabidopsis","AT1G14230",4.296464e-17
"Arabidopsis","AT1G14460",4.296464e-17
"Arabidopsis","AT1G14470",4.296464e-17
"Arabidopsis","AT1G14480",4.296464e-17
"Arabidopsis","AT1G14490",4.296464e-17
"Arabidopsis","AT1G14500",4.296464e-17
"Arabidopsis","AT1G14510",4.296464e-17
"Arabidopsis","AT1G14518",4.296464e-17
"Arabidopsis","AT1G14520",4.296464e-17
"Arabidopsis","AT1G14530",4.296464e-17
"Arabidopsis","AT1G14540",4.296464e-17
"Arabidopsis","AT1G14549",4.296464e-17
"Arabidopsis","AT1G14550",4.296464e-17
"Arabidopsis","AT1G14560",4.296464e-17
"Arabidopsis","AT1G14570",4.296464e-17
"Arabidopsis","AT1G14580",4.296464e-17
"Arabidopsis","AT1G14590",4.296464e-17
"Arabidopsis","AT1G14600",4.296464e-17
"Arabidopsis","AT3G20720",5.754621e-17
"Arabidopsis","AT3G20730",5.754621e-17
"Arabidopsis","AT3G20740",5.754621e-17
"Arabidopsis","AT3G20750",5.754621e-17
"Arabidopsis","AT3G20760",5.754621e-17
"Arabidopsis","AT3G20770",5.754621e-17
"Arabidopsis","AT3G20780",5.754621e-17
"Arabidopsis","AT3G20790",5.754621e-17
"Arabidopsis","AT3G20800",5.754621e-17
"Arabidopsis","AT3G20810",5.754621e-17
"Arabidopsis","AT3G20820",5.754621e-17
"Arabidopsis","AT1G13990",9.566274e-17
"Arabidopsis","AT1G14000",9.566274e-17
"Arabidopsis","AT1G14010",9.566274e-17
"Arabidopsis","AT1G14020",9.566274e-17
"Arabidopsis","AT1G14030",9.566274e-17
"Arabidopsis","AT1G13560",1.053119e-16
"Arabidopsis","AT1G13570",1.053119e-16
"Arabidopsis","AT1G13580",1.053119e-16
"Arabidopsis","AT1G13590",1.053119e-16
"Arabidopsis","AT1G13600",1.053119e-16
"Arabidopsis","AT1G13605",1.053119e-16
"Arabidopsis","AT1G13607",1.053119e-16
"Arabidopsis","AT1G13608",1.053119e-16
"Arabidopsis","AT1G13609",1.053119e-16
"Arabidopsis","AT1G13610",1.053119e-16
"Arabidopsis","AT1G13620",1.053119e-16
"Arabidopsis","AT1G13630",1.053119e-16
"Arabidopsis","AT1G13635",1.053119e-16
"Arabidopsis","AT1G13640",1.053119e-16
"Arabidopsis","AT1G13650",1.053119e-16
"Arabidopsis","AT1G13670",1.053119e-16
"Arabidopsis","AT1G13710",1.053119e-16
"Arabidopsis","AT1G13720",1.053119e-16
"Arabidopsis","AT1G13730",1.053119e-16
"Arabidopsis","AT1G13740",1.053119e-16
"Arabidopsis","AT1G13750",1.053119e-16
"Arabidopsis","AT1G13755",1.053119e-16
"Arabidopsis","AT1G13760",1.053119e-16
"Arabidopsis","AT1G13770",1.053119e-16
"Arabidopsis","AT1G13780",1.053119e-16
"Arabidopsis","AT1G13790",1.053119e-16
"Arabidopsis","AT1G13800",1.053119e-16
"Arabidopsis","AT1G13810",1.053119e-16
"Arabidopsis","AT1G13820",1.053119e-16
"Arabidopsis","AT1G13830",1.053119e-16
"Arabidopsis","AT1G13840",1.053119e-16
"Arabidopsis","AT1G66120",1.369299e-16
"Arabidopsis","AT1G66130",1.369299e-16
"Arabidopsis","AT1G66140",1.369299e-16
"Arabidopsis","AT1G66145",1.369299e-16
"Arabidopsis","AT1G66150",1.369299e-16
"Arabidopsis","AT1G66160",1.369299e-16
"Arabidopsis","AT1G66170",1.369299e-16
"Arabidopsis","AT1G66173",1.369299e-16
"Arabidopsis","AT1G66180",1.369299e-16
"Arabidopsis","AT1G66190",1.369299e-16
"Arabidopsis","AT1G66200",1.369299e-16
"Arabidopsis","AT1G27500",2.496602e-16
"Arabidopsis","AT1G27510",2.496602e-16
"Arabidopsis","AT1G27520",2.496602e-16
"Arabidopsis","AT1G27530",2.496602e-16
"Arabidopsis","AT1G27540",2.496602e-16
"Arabidopsis","AT1G27550",2.496602e-16
"Arabidopsis","AT1G27565",2.496602e-16
"Arabidopsis","AT1G27570",2.496602e-16
"Arabidopsis","AT1G27580",2.496602e-16
"Arabidopsis","AT1G27590",2.496602e-16
"Arabidopsis","AT1G27595",2.496602e-16
"Arabidopsis","AT1G27600",2.496602e-16
"Arabidopsis","AT1G27610",2.496602e-16
"Arabidopsis","AT1G27620",2.496602e-16
"Arabidopsis","AT1G27630",2.496602e-16
"Arabidopsis","AT1G27640",2.496602e-16
"Arabidopsis","AT1G27650",2.496602e-16
"Arabidopsis","AT1G27660",2.496602e-16
"Arabidopsis","AT1G27670",2.496602e-16
"Arabidopsis","AT1G19800",5.645743e-16
"Arabidopsis","AT1G19830",5.645743e-16
"Arabidopsis","AT1G19835",5.645743e-16
"Arabidopsis","AT1G19840",5.645743e-16
"Arabidopsis","AT1G19850",5.645743e-16
"Arabidopsis","AT1G19860",5.645743e-16
"Arabidopsis","AT1G19870",5.645743e-16
"Arabidopsis","AT3G17261",1.990886e-15
"Arabidopsis","AT3G17265",1.990886e-15
"Arabidopsis","AT3G17270",1.990886e-15
"Arabidopsis","AT3G17280",1.990886e-15
"Arabidopsis","AT3G17300",1.990886e-15
"Arabidopsis","AT3G17310",1.990886e-15
"Arabidopsis","AT3G17320",1.990886e-15
"Arabidopsis","AT3G17330",1.990886e-15
"Arabidopsis","AT3G17340",1.990886e-15
"Arabidopsis","AT3G17350",1.990886e-15
"Arabidopsis","AT3G17360",1.990886e-15
"Arabidopsis","AT3G18060",1.990886e-15
"Arabidopsis","AT3G18070",1.990886e-15
"Arabidopsis","AT3G18080",1.990886e-15
"Arabidopsis","AT3G18090",1.990886e-15
"Arabidopsis","AT3G18100",1.990886e-15
"Arabidopsis","AT3G18110",1.990886e-15
"Arabidopsis","AT3G18120",1.990886e-15
"Arabidopsis","AT3G18130",1.990886e-15
"Arabidopsis","AT3G18140",1.990886e-15
"Arabidopsis","AT3G18150",1.990886e-15
"Arabidopsis","AT3G18160",1.990886e-15
"Arabidopsis","AT3G18165",1.990886e-15
"Arabidopsis","AT3G18170",1.990886e-15
"Arabidopsis","AT3G18180",1.990886e-15
"Arabidopsis","AT3G18190",1.990886e-15
"Arabidopsis","AT3G18200",1.990886e-15
"Arabidopsis","AT1G19750",2.585617e-15
"Arabidopsis","AT1G19770",2.585617e-15
"Arabidopsis","AT1G19780",2.585617e-15
"Arabidopsis","AT1G19790",2.585617e-15
"Arabidopsis","AT1G56400",3.991541e-15
"Arabidopsis","AT1G56410",3.991541e-15
"Arabidopsis","AT1G56415",3.991541e-15
"Arabidopsis","AT1G56418",3.991541e-15
"Arabidopsis","AT1G56420",3.991541e-15
"Arabidopsis","AT1G56423",3.991541e-15
"Arabidopsis","AT1G56430",3.991541e-15
"Arabidopsis","AT1G56440",3.991541e-15
