species,gene,pvalue
Arabidopsis,AT3G20170,8.98878e-22
Arabidopsis,AT5G55790,1.326256e-16
Arabidopsis,AT3G19970,4.937097e-16
Arabidopsis,AT3G19980,4.937097e-16
Arabidopsis,AT3G19990,4.937097e-16
Arabidopsis,AT3G20020,4.937097e-16
Arabidopsis,AT1G47220,6.07836e-16
Arabidopsis,AT1G76930,6.445169e-16
Arabidopsis,AT1G76940,6.445169e-16
Arabidopsis,AT1G76950,6.445169e-16
Arabidopsis,AT3G20300,1.332805e-15
Arabidopsis,AT3G19680,6.37641e-15
Arabidopsis,AT3G19690,6.37641e-15
Arabidopsis,AT5G24820,1.264669e-14
Arabidopsis,AT1G12760,2.25198e-14
Arabidopsis,AT5G55990,2.60549e-14
Arabidopsis,AT1G12805,3.650353e-14
Arabidopsis,AT1G26740,9.830525e-14
Arabidopsis,AT5G54820,1.014184e-13
Arabidopsis,AT1G25470,1.055765e-13
Arabidopsis,AT2G44670,1.083002e-13
Arabidopsis,AT5G58920,1.412186e-12
Arabidopsis,AT5G60540,1.412186e-12
Arabidopsis,AT5G60570,1.412186e-12
Arabidopsis,AT5G60720,1.412186e-12
Arabidopsis,AT1G25480,1.679599e-12
Arabidopsis,AT1G47300,2.146325e-12
Arabidopsis,AT3G01340,2.445283e-12
Arabidopsis,AT3G20580,2.8006e-12
Arabidopsis,AT5G20640,4.447108e-12
Arabidopsis,AT1G56555,5.441594e-12
Arabidopsis,AT1G14480,9.646574e-12
Arabidopsis,AT1G14610,9.646574e-12
Arabidopsis,AT5G54080,1.069169e-11
Arabidopsis,AT5G20900,1.351428e-11
Arabidopsis,AT2G44500,2.802708e-11
Arabidopsis,AT5G42980,3.017975e-11
Arabidopsis,AT5G43010,3.017975e-11
Arabidopsis,AT5G43070,3.017975e-11
Arabidopsis,AT1G15430,4.587536e-11
Arabidopsis,AT5G60470,4.741878e-11
Arabidopsis,AT2G44550,5.141814e-11
Arabidopsis,AT5G58640,5.320146e-11
Arabidopsis,AT5G55125,5.713481e-11
Arabidopsis,AT5G58080,6.185716e-11
Arabidopsis,AT5G54970,6.857964e-11
Arabidopsis,AT1G16120,1.139963e-10
Arabidopsis,AT1G25490,1.14668e-10
Arabidopsis,AT1G25500,1.14668e-10
Arabidopsis,AT5G56020,1.247312e-10
Arabidopsis,AT5G55893,1.334693e-10
Arabidopsis,AT1G68530,1.353752e-10
Arabidopsis,AT1G47470,1.36308e-10
Arabidopsis,AT5G42290,1.526119e-10
Arabidopsis,AT1G76550,1.538095e-10
Arabidopsis,AT5G44160,1.806443e-10
Arabidopsis,AT1G15480,1.972652e-10
Arabidopsis,AT5G58950,2.025473e-10
Arabidopsis,AT3G14700,2.062117e-10
Arabidopsis,AT3G19890,2.19392e-10
Arabidopsis,AT3G19930,2.19392e-10
Arabidopsis,AT5G60210,2.614705e-10
Arabidopsis,AT5G60250,2.614705e-10
Arabidopsis,AT5G60350,2.614705e-10
Arabidopsis,AT5G60380,2.614705e-10
Arabidopsis,AT5G60400,2.614705e-10
Arabidopsis,AT5G60440,2.614705e-10
Arabidopsis,AT3G15800,2.699851e-10
Arabidopsis,AT5G40020,2.752464e-10
Arabidopsis,AT3G19870,3.182275e-10
Arabidopsis,AT1G70690,3.225126e-10
Arabidopsis,AT5G09370,3.555628e-10
Arabidopsis,AT3G63220,3.762359e-10
Arabidopsis,AT4G16790,3.875458e-10
Arabidopsis,AT1G17150,3.914636e-10
Arabidopsis,AT1G16300,3.985418e-10
Arabidopsis,AT1G16340,3.985418e-10
Arabidopsis,AT5G59050,4.871302e-10
Arabidopsis,AT5G59060,4.871302e-10
Arabidopsis,AT5G59100,4.871302e-10
Arabidopsis,AT5G59120,4.871302e-10
Arabidopsis,AT5G59130,4.871302e-10
Arabidopsis,AT5G59290,4.871302e-10
Arabidopsis,AT3G15750,5.380564e-10
Arabidopsis,AT3G15790,5.380564e-10
Arabidopsis,AT2G38040,5.516054e-10
Arabidopsis,AT1G26420,5.563003e-10
Arabidopsis,AT1G07470,5.907493e-10
Arabidopsis,AT1G07480,5.907493e-10
Arabidopsis,AT3G60340,6.301537e-10
Arabidopsis,AT3G60400,6.301537e-10
Arabidopsis,AT3G57080,8.298421e-10
Arabidopsis,AT5G41690,8.624421e-10
Arabidopsis,AT1G44575,9.120339e-10
Arabidopsis,AT1G43680,9.41182e-10
Arabidopsis,AT1G13410,9.631797e-10
Arabidopsis,AT1G13450,9.631797e-10
Arabidopsis,AT5G33290,9.721872e-10
Arabidopsis,AT5G54940,1.150724e-09
Arabidopsis,AT5G02260,1.159341e-09
Arabidopsis,AT5G39970,1.18875e-09
Arabidopsis,AT5G39980,1.18875e-09
Arabidopsis,AT5G39990,1.18875e-09
Arabidopsis,AT3G16050,1.209002e-09
Arabidopsis,AT3G16060,1.209002e-09
Arabidopsis,AT3G16090,1.209002e-09
Arabidopsis,AT3G16110,1.209002e-09
Arabidopsis,AT3G16130,1.209002e-09
Arabidopsis,AT5G58940,1.249906e-09
Arabidopsis,AT5G51795,1.391391e-09
Arabidopsis,AT5G42920,1.597711e-09
Arabidopsis,AT5G42930,1.597711e-09
Arabidopsis,AT5G51190,1.614487e-09
Arabidopsis,AT1G07510,1.626398e-09
Arabidopsis,AT1G07530,1.626398e-09
Arabidopsis,AT1G35900,1.649203e-09
Arabidopsis,AT1G47720,1.849155e-09
Arabidopsis,AT5G54580,2.611928e-09
Arabidopsis,AT1G31260,2.625091e-09
Arabidopsis,AT1G25380,2.882926e-09
Arabidopsis,AT3G14820,3.085593e-09
Arabidopsis,AT1G68510,3.121812e-09
Arabidopsis,AT1G68520,3.121812e-09
Arabidopsis,AT1G68540,3.121812e-09
Arabidopsis,AT5G40040,3.318715e-09
Arabidopsis,AT2G42240,3.476125e-09
Arabidopsis,AT2G42280,3.476125e-09
Arabidopsis,AT2G42365,3.476125e-09
Arabidopsis,AT1G13610,3.579199e-09
Arabidopsis,AT1G13760,3.579199e-09
Arabidopsis,AT5G54680,3.622248e-09
Arabidopsis,AT4G09640,3.686913e-09
Arabidopsis,AT4G26610,3.77033e-09
Arabidopsis,AT5G42940,3.895242e-09
Arabidopsis,AT5G42950,3.895242e-09
Arabidopsis,AT5G02560,4.422021e-09
Arabidopsis,AT3G21060,4.586923e-09
Arabidopsis,AT3G19080,4.745842e-09
Arabidopsis,AT3G19130,4.745842e-09
Arabidopsis,AT3G19170,4.745842e-09
Arabidopsis,AT5G42810,4.880973e-09
Arabidopsis,AT5G43130,5.491909e-09
Arabidopsis,AT1G26700,5.875358e-09
Arabidopsis,AT1G44835,5.879252e-09
Arabidopsis,AT5G56325,5.887776e-09
Arabidopsis,AT5G57280,6.065027e-09
Arabidopsis,AT5G57290,6.065027e-09
Arabidopsis,AT1G47380,6.518978e-09
Arabidopsis,AT1G68720,6.86168e-09
Arabidopsis,AT1G47450,7.362893e-09
Arabidopsis,AT5G31412,8.993958e-09
Arabidopsis,AT1G07900,9.013735e-09
Arabidopsis,AT1G15002,9.032687e-09
Arabidopsis,AT3G19895,9.214189e-09
Arabidopsis,AT3G07010,9.223502e-09
Arabidopsis,AT5G19500,9.72847e-09
Arabidopsis,AT5G54720,9.847003e-09
Arabidopsis,AT4G20160,1.18093e-08
Arabidopsis,AT5G20580,1.224497e-08
Arabidopsis,AT1G69610,1.251796e-08
Arabidopsis,AT1G47390,1.313721e-08
Arabidopsis,AT1G15030,1.422422e-08
Arabidopsis,AT5G54690,1.433881e-08
Arabidopsis,AT5G54200,1.522125e-08
Arabidopsis,AT5G60160,1.596938e-08
Arabidopsis,AT5G60170,1.596938e-08
Arabidopsis,AT5G42910,1.596943e-08
Arabidopsis,AT1G54260,1.628261e-08
Arabidopsis,AT1G54380,1.628261e-08
Arabidopsis,AT1G54400,1.628261e-08
Arabidopsis,AT1G54560,1.628261e-08
Arabidopsis,AT1G54930,1.628261e-08
Arabidopsis,AT1G54960,1.628261e-08
Arabidopsis,AT1G54980,1.628261e-08
Arabidopsis,AT1G54990,1.628261e-08
Arabidopsis,AT1G55050,1.628261e-08
Arabidopsis,AT1G55080,1.628261e-08
Arabidopsis,AT1G55090,1.628261e-08
Arabidopsis,AT1G55130,1.628261e-08
Arabidopsis,AT1G55140,1.628261e-08
Arabidopsis,AT1G55152,1.628261e-08
Arabidopsis,AT1G55170,1.628261e-08
Arabidopsis,AT1G55200,1.628261e-08
Arabidopsis,AT1G55220,1.628261e-08
Arabidopsis,AT1G55280,1.628261e-08
Arabidopsis,AT1G55310,1.628261e-08
Arabidopsis,AT1G55325,1.628261e-08
Arabidopsis,AT1G55340,1.628261e-08
Arabidopsis,AT1G55350,1.628261e-08
Arabidopsis,AT1G55420,1.628261e-08
Arabidopsis,AT1G55450,1.628261e-08
Arabidopsis,AT1G55460,1.628261e-08
Arabidopsis,AT1G55475,1.628261e-08
Arabidopsis,AT1G55490,1.628261e-08
Arabidopsis,AT1G55540,1.628261e-08
Arabidopsis,AT1G55546,1.628261e-08
Arabidopsis,AT1G55560,1.628261e-08
Arabidopsis,AT1G55650,1.628261e-08
Arabidopsis,AT1G55960,1.628261e-08
Arabidopsis,AT1G55970,1.628261e-08
Arabidopsis,AT1G56010,1.628261e-08
Arabidopsis,AT1G56045,1.628261e-08
Arabidopsis,AT1G56085,1.628261e-08
Arabidopsis,AT1G56130,1.628261e-08
Arabidopsis,AT1G56145,1.628261e-08
Arabidopsis,AT1G56190,1.628261e-08
Arabidopsis,AT1G56280,1.628261e-08
Arabidopsis,AT1G56310,1.628261e-08
Arabidopsis,AT1G56330,1.628261e-08
Arabidopsis,AT1G56360,1.628261e-08
Arabidopsis,AT1G56380,1.628261e-08
Arabidopsis,AT1G56400,1.628261e-08
Arabidopsis,AT1G56415,1.628261e-08
Arabidopsis,AT5G49030,1.65016e-08
Arabidopsis,AT5G49050,1.65016e-08
Arabidopsis,AT5G49110,1.65016e-08
Arabidopsis,AT5G49120,1.65016e-08
Arabidopsis,AT5G24580,1.670678e-08
Arabidopsis,AT5G51250,1.850408e-08
Arabidopsis,AT5G51260,1.850408e-08
Arabidopsis,AT5G51270,1.850408e-08
Arabidopsis,AT1G53230,1.858666e-08
Arabidopsis,AT1G69460,1.988155e-08
Arabidopsis,AT3G60240,2.313335e-08
Arabidopsis,AT3G60245,2.313335e-08
Arabidopsis,AT1G31270,2.407483e-08
Arabidopsis,AT1G56510,2.423674e-08
Arabidopsis,AT1G13360,2.518202e-08
Arabidopsis,AT2G44520,2.551395e-08
Arabidopsis,AT2G41840,2.590468e-08
Arabidopsis,AT3G19090,2.755117e-08
Arabidopsis,AT5G55590,2.798484e-08
Arabidopsis,AT5G42220,2.856383e-08
Arabidopsis,AT1G07850,2.878183e-08
Arabidopsis,AT1G07860,2.878183e-08
Arabidopsis,AT4G36380,2.965463e-08
Arabidopsis,AT5G54560,3.001934e-08
Arabidopsis,AT5G48110,3.099565e-08
Arabidopsis,AT1G68850,3.103578e-08
Arabidopsis,AT5G57510,3.148714e-08
Arabidopsis,AT3G14720,3.29485e-08
Arabidopsis,AT5G38317,3.320551e-08
Arabidopsis,AT1G26660,3.486274e-08
Arabidopsis,AT3G15610,3.506025e-08
Arabidopsis,AT5G59220,3.512689e-08
Arabidopsis,AT3G60380,3.68092e-08
Arabidopsis,AT1G48550,3.781065e-08
