species,gene,pvalue
Arabidopsis,AT5G64040,1.383238e-10
Arabidopsis,AT5G62110,1.736502e-08
Arabidopsis,AT2G17550,1.489344e-07
Arabidopsis,AT1G16440,2.644824e-07
Arabidopsis,AT2G20320,5.191215e-07
Arabidopsis,AT2G17090,8.48301e-07
Arabidopsis,AT5G08490,1.033265e-06
Arabidopsis,AT1G19450,1.120001e-06
Arabidopsis,AT2G17530,1.160276e-06
Arabidopsis,AT5G08560,1.388667e-06
Arabidopsis,AT5G66005,1.567716e-06
Arabidopsis,AT2G15530,2.517485e-06
Arabidopsis,AT2G17070,2.960182e-06
Arabidopsis,AT2G20280,3.305054e-06
Arabidopsis,AT2G20300,3.305054e-06
Arabidopsis,AT5G04970,3.486818e-06
Arabidopsis,AT5G46400,3.486818e-06
Arabidopsis,AT2G17640,4.235094e-06
Arabidopsis,AT1G52530,4.365235e-06
Arabidopsis,AT4G15990,6.462453e-06
Arabidopsis,AT3G50270,8.242132e-06
Arabidopsis,AT1G14260,9.134487e-06
Arabidopsis,AT5G50450,9.582701e-06
Arabidopsis,AT5G08510,1.018423e-05
Arabidopsis,AT3G50150,1.063307e-05
Arabidopsis,AT3G50160,1.063307e-05
Arabidopsis,AT5G60120,1.084962e-05
Arabidopsis,AT1G14360,1.131328e-05
Arabidopsis,AT5G61060,1.283421e-05
Arabidopsis,AT5G61070,1.283421e-05
Arabidopsis,AT5G61090,1.283421e-05
Arabidopsis,AT1G52540,1.370661e-05
Arabidopsis,AT3G62060,1.542904e-05
Arabidopsis,AT3G62150,1.560924e-05
Arabidopsis,AT3G62230,1.560924e-05
Arabidopsis,AT1G13290,1.67776e-05
Arabidopsis,AT2G13295,1.921648e-05
Arabidopsis,AT2G17480,1.95402e-05
Arabidopsis,AT5G54390,2.15507e-05
Arabidopsis,AT5G66050,2.172764e-05
Arabidopsis,AT3G50280,2.527323e-05
Arabidopsis,AT5G16580,2.644275e-05
Arabidopsis,AT1G61190,2.661625e-05
Arabidopsis,AT4G38660,2.669398e-05
Arabidopsis,AT4G34390,2.791461e-05
Arabidopsis,AT5G59800,3.126299e-05
Arabidopsis,AT1G15490,3.250152e-05
Arabidopsis,AT4G09140,3.467544e-05
Arabidopsis,AT3G59180,3.474533e-05
Arabidopsis,AT3G59200,3.474533e-05
Arabidopsis,AT5G07910,3.717662e-05
Arabidopsis,AT5G64130,4.23238e-05
Arabidopsis,AT4G11640,4.443141e-05
Arabidopsis,AT2G20250,4.452013e-05
Arabidopsis,AT2G24870,4.493723e-05
Arabidopsis,AT5G01370,4.638831e-05
Arabidopsis,AT5G11930,4.678218e-05
Arabidopsis,AT2G47910,4.77857e-05
Arabidopsis,AT2G17500,4.815077e-05
Arabidopsis,AT5G21482,5.065571e-05
Arabidopsis,AT5G21920,5.065571e-05
Arabidopsis,AT3G27180,5.252377e-05
Arabidopsis,AT5G41880,5.333968e-05
Arabidopsis,AT3G59300,5.35263e-05
Arabidopsis,AT3G59330,5.35263e-05
Arabidopsis,AT4G21120,5.465346e-05
Arabidopsis,AT2G17180,5.53006e-05
Arabidopsis,AT3G61570,5.599732e-05
Arabidopsis,AT1G77290,5.73176e-05
Arabidopsis,AT4G18030,5.760894e-05
Arabidopsis,AT1G52500,5.842664e-05
Arabidopsis,AT4G37095,5.975647e-05
Arabidopsis,AT4G37100,5.984455e-05
Arabidopsis,AT4G36925,6.445717e-05
Arabidopsis,AT1G16670,6.492524e-05
Arabidopsis,AT5G66130,6.560424e-05
Arabidopsis,AT5G44495,6.831165e-05
Arabidopsis,AT1G44224,6.858621e-05
Arabidopsis,AT3G59250,6.873856e-05
Arabidopsis,AT5G07930,6.97748e-05
Arabidopsis,AT4G09360,7.077825e-05
Arabidopsis,AT4G30080,7.078754e-05
Arabidopsis,AT5G35360,7.147986e-05
Arabidopsis,AT2G04100,7.195862e-05
Arabidopsis,AT5G66080,7.467164e-05
Arabidopsis,AT3G50130,7.486204e-05
Arabidopsis,AT1G33811,7.565764e-05
Arabidopsis,AT1G47480,7.631134e-05
Arabidopsis,AT1G15640,7.649044e-05
Arabidopsis,AT4G15960,7.870549e-05
Arabidopsis,AT1G05670,7.960382e-05
Arabidopsis,AT5G61430,7.966616e-05
Arabidopsis,AT2G17190,7.987134e-05
Arabidopsis,AT4G12240,8.003835e-05
Arabidopsis,AT4G37010,8.042178e-05
Arabidopsis,AT1G34640,8.108414e-05
Arabidopsis,AT1G16635,8.29109e-05
Arabidopsis,AT5G20120,8.463935e-05
Arabidopsis,AT5G07890,8.534931e-05
Arabidopsis,AT5G60140,8.598153e-05
Arabidopsis,AT1G09600,8.673623e-05
Arabidopsis,AT2G28940,8.788809e-05
Arabidopsis,AT4G09120,8.824391e-05
Arabidopsis,AT2G20560,8.843329e-05
Arabidopsis,AT3G25600,8.846432e-05
Arabidopsis,AT4G34400,9.073862e-05
Arabidopsis,AT4G36880,9.216732e-05
Arabidopsis,AT1G14780,9.223203e-05
Arabidopsis,AT1G52520,9.367359e-05
Arabidopsis,AT5G62460,9.435867e-05
Arabidopsis,AT5G62575,9.435867e-05
Arabidopsis,AT5G62600,9.435867e-05
