"species","gene","pvalue"
"arabidopsis","AT2G11620",6.41913e-11
"arabidopsis","AT2G11623",6.41913e-11
"arabidopsis","AT2G11626",6.41913e-11
"arabidopsis","AT2G11651",6.41913e-11
"arabidopsis","AT5G63960",1.383238e-10
"arabidopsis","AT5G63970",1.383238e-10
"arabidopsis","AT5G63980",1.383238e-10
"arabidopsis","AT5G63990",1.383238e-10
"arabidopsis","AT5G64000",1.383238e-10
"arabidopsis","AT5G64010",1.383238e-10
"arabidopsis","AT5G64020",1.383238e-10
"arabidopsis","AT5G64030",1.383238e-10
"arabidopsis","AT5G64040",1.383238e-10
"arabidopsis","AT5G64050",1.383238e-10
"arabidopsis","AT5G64060",1.383238e-10
"arabidopsis","AT5G64070",1.383238e-10
"arabidopsis","AT5G64080",1.383238e-10
"arabidopsis","AT5G64090",1.383238e-10
"arabidopsis","AT5G64100",1.383238e-10
"arabidopsis","AT4G08263",1.396607e-09
"arabidopsis","AT4G08267",1.396607e-09
"arabidopsis","AT4G08270",1.396607e-09
"arabidopsis","AT4G08280",1.396607e-09
"arabidopsis","AT4G08290",1.396607e-09
"arabidopsis","AT4G08300",1.396607e-09
"arabidopsis","AT4G08310",1.396607e-09
"arabidopsis","AT4G08320",1.396607e-09
"arabidopsis","AT5G62030",1.736502e-08
"arabidopsis","AT5G62040",1.736502e-08
"arabidopsis","AT5G62050",1.736502e-08
"arabidopsis","AT5G62060",1.736502e-08
"arabidopsis","AT5G62065",1.736502e-08
"arabidopsis","AT5G62070",1.736502e-08
"arabidopsis","AT5G62080",1.736502e-08
"arabidopsis","AT5G62090",1.736502e-08
"arabidopsis","AT5G62100",1.736502e-08
"arabidopsis","AT5G62110",1.736502e-08
"arabidopsis","AT5G62120",1.736502e-08
"arabidopsis","AT5G62130",1.736502e-08
"arabidopsis","AT5G62140",1.736502e-08
"arabidopsis","AT5G62150",1.736502e-08
"arabidopsis","AT5G62160",1.736502e-08
"arabidopsis","AT5G62162",1.736502e-08
"arabidopsis","AT5G62165",1.736502e-08
"arabidopsis","AT2G17500",9.461076e-08
"arabidopsis","AT2G17510",9.461076e-08
"arabidopsis","AT2G17520",9.461076e-08
"arabidopsis","AT2G17525",9.461076e-08
"arabidopsis","AT2G17530",9.461076e-08
"arabidopsis","AT2G17540",9.461076e-08
"arabidopsis","AT2G17550",9.461076e-08
"arabidopsis","AT2G17556",9.461076e-08
"arabidopsis","AT2G17560",9.461076e-08
"arabidopsis","AT2G17570",9.461076e-08
"arabidopsis","AT2G17580",9.461076e-08
"arabidopsis","AT5G16270",1.276283e-07
"arabidopsis","AT5G16280",1.276283e-07
