GO biological process complete	Arabidopsis thaliana - REFLIST (27475)	upload_1 (10516)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
mitotic DNA replication initiation (GO:1902975)	4	4	1.53	+	2.61	2.15E-02
Casparian strip assembly (GO:0160073)	4	4	1.53	+	2.61	2.15E-02
mitotic metaphase chromosome alignment (GO:0007080)	4	4	1.53	+	2.61	2.15E-02
protein ufmylation (GO:0071569)	4	4	1.53	+	2.61	2.15E-02
L-arginine catabolic process (GO:0006527)	4	4	1.53	+	2.61	2.15E-02
terpenoid transport (GO:0046865)	8	8	3.06	+	2.61	4.60E-04
isoprenoid transport (GO:0046864)	8	8	3.06	+	2.61	4.60E-04
nuclear cell cycle DNA replication initiation (GO:1902315)	4	4	1.53	+	2.61	2.15E-02
regulation of cellular response to osmotic stress (GO:0106049)	4	4	1.53	+	2.61	2.15E-02
cell cycle DNA replication initiation (GO:1902292)	4	4	1.53	+	2.61	2.15E-02
regulation of cellular hyperosmotic salinity response (GO:1900069)	4	4	1.53	+	2.61	2.15E-02
attachment of mitotic spindle microtubules to kinetochore (GO:0051315)	4	4	1.53	+	2.61	2.15E-02
"short-day photoperiodism, flowering (GO:0048575)"	4	4	1.53	+	2.61	2.15E-02
short-day photoperiodism (GO:0048572)	4	4	1.53	+	2.61	2.15E-02
abscisic acid transport (GO:0080168)	6	6	2.3	+	2.61	3.14E-03
intracellular amino acid homeostasis (GO:0080144)	8	8	3.06	+	2.61	4.60E-04
stamen formation (GO:0048455)	4	4	1.53	+	2.61	2.15E-02
mRNA 5'-splice site recognition (GO:0000395)	4	4	1.53	+	2.61	2.15E-02
1-aminocyclopropane-1-carboxylate metabolic process (GO:0018871)	8	7	3.06	+	2.29	6.40E-03
1-aminocyclopropane-1-carboxylate biosynthetic process (GO:0042218)	8	7	3.06	+	2.29	6.40E-03
L-leucine catabolic process (GO:0006552)	7	6	2.68	+	2.24	1.48E-02
cellular response to UV-B (GO:0071493)	7	6	2.68	+	2.24	1.48E-02
glutamine transport (GO:0006868)	6	5	2.3	+	2.18	3.36E-02
maintenance of floral meristem identity (GO:0010076)	6	5	2.3	+	2.18	3.36E-02
nitric oxide biosynthetic process (GO:0006809)	6	5	2.3	+	2.18	3.36E-02
putrescine biosynthetic process (GO:0009446)	6	5	2.3	+	2.18	3.36E-02
reticulophagy (GO:0061709)	6	5	2.3	+	2.18	3.36E-02
pyridoxine biosynthetic process (GO:0008615)	6	5	2.3	+	2.18	3.36E-02
cytokinin catabolic process (GO:0009823)	6	5	2.3	+	2.18	3.36E-02
nitric oxide metabolic process (GO:0046209)	6	5	2.3	+	2.18	3.36E-02
anthocyanin accumulation in tissues in response to UV light (GO:0043481)	6	5	2.3	+	2.18	3.36E-02
pigment accumulation in tissues (GO:0043480)	6	5	2.3	+	2.18	3.36E-02
pigment accumulation in tissues in response to UV light (GO:0043479)	6	5	2.3	+	2.18	3.36E-02
pigment accumulation in response to UV light (GO:0043478)	6	5	2.3	+	2.18	3.36E-02
glucosinolate transport (GO:1901349)	6	5	2.3	+	2.18	3.36E-02
regulation of glucosinolate biosynthetic process (GO:0010439)	10	8	3.83	+	2.09	9.04E-03
fruit ripening (GO:0009835)	10	8	3.83	+	2.09	9.04E-03
specification of plant organ axis polarity (GO:0090708)	9	7	3.44	+	2.03	3.22E-02
L-valine biosynthetic process (GO:0009099)	9	7	3.44	+	2.03	3.22E-02
L-methionine salvage from methylthioadenosine (GO:0019509)	9	7	3.44	+	2.03	3.22E-02
putrescine metabolic process (GO:0009445)	13	10	4.98	+	2.01	7.26E-03
intracellular zinc ion homeostasis (GO:0006882)	12	9	4.59	+	1.96	1.41E-02
auxin import into cell (GO:0060919)	12	9	4.59	+	1.96	1.41E-02
response to herbicide (GO:0009635)	16	12	6.12	+	1.96	3.62E-03
chromosome localization (GO:0050000)	15	11	5.74	+	1.92	7.05E-03
actin filament depolymerization (GO:0030042)	15	11	5.74	+	1.92	7.05E-03
vacuolar acidification (GO:0007035)	11	8	4.21	+	1.9	2.70E-02
intracellular pH reduction (GO:0051452)	11	8	4.21	+	1.9	2.70E-02
stamen morphogenesis (GO:0048448)	11	8	4.21	+	1.9	2.70E-02
response to nitrate starvation (GO:0090548)	14	10	5.36	+	1.87	1.35E-02
L-methionine biosynthetic process (GO:0071265)	14	10	5.36	+	1.87	1.35E-02
negative regulation of protein depolymerization (GO:1901880)	14	10	5.36	+	1.87	1.35E-02
negative regulation of protein-containing complex disassembly (GO:0043242)	17	12	6.51	+	1.84	1.02E-02
regulatory ncRNA-mediated post-transcriptional gene silencing (GO:0035194)	34	24	13.01	+	1.84	1.52E-04
regulation of seed dormancy process (GO:2000033)	17	12	6.51	+	1.84	1.02E-02
negative regulation of actin filament polymerization (GO:0030837)	13	9	4.98	+	1.81	4.07E-02
negative regulation of actin filament depolymerization (GO:0030835)	13	9	4.98	+	1.81	4.07E-02
amino acid salvage (GO:0043102)	13	9	4.98	+	1.81	4.07E-02
plasma membrane organization (GO:0007009)	13	9	4.98	+	1.81	4.07E-02
nuclear DNA replication (GO:0033260)	13	9	4.98	+	1.81	4.07E-02
L-methionine salvage (GO:0071267)	13	9	4.98	+	1.81	4.07E-02
actin filament capping (GO:0051693)	13	9	4.98	+	1.81	4.07E-02
(1->3)-beta-D-glucan metabolic process (GO:0006074)	13	9	4.98	+	1.81	4.07E-02
nucleotide transmembrane transport (GO:1901679)	13	9	4.98	+	1.81	4.07E-02
regulation of seed growth (GO:0080113)	13	9	4.98	+	1.81	4.07E-02
indoleacetic acid biosynthetic process (GO:0009684)	13	9	4.98	+	1.81	4.07E-02
acceptance of pollen (GO:0060321)	13	9	4.98	+	1.81	4.07E-02
negative regulation of supramolecular fiber organization (GO:1902904)	16	11	6.12	+	1.8	1.81E-02
negative regulation of cytoskeleton organization (GO:0051494)	16	11	6.12	+	1.8	1.81E-02
negative regulation of gene expression via chromosomal CpG island methylation (GO:0044027)	19	13	7.27	+	1.79	8.86E-03
negative regulation of protein-containing complex assembly (GO:0031333)	15	10	5.74	+	1.74	3.19E-02
regulation of actin filament depolymerization (GO:0030834)	15	10	5.74	+	1.74	3.19E-02
regulation of protein depolymerization (GO:1901879)	18	12	6.89	+	1.74	2.58E-02
negative regulation of protein polymerization (GO:0032272)	15	10	5.74	+	1.74	3.19E-02
jasmonic acid and ethylene-dependent systemic resistance (GO:0009861)	15	10	5.74	+	1.74	3.19E-02
