"domain","go_id","term","n_species","species_list"
"BP","GO:0009987","cellular process",3,"arabidopsis;maize;rice"
"BP","GO:0050789","regulation of biological process",3,"arabidopsis;maize;rice"
"BP","GO:0050794","regulation of cellular process",3,"arabidopsis;maize;rice"
"BP","GO:0009791","post-embryonic development",2,"barley;maize"
"BP","GO:0019219","regulation of nucleobase-containing compound metabolic process",2,"arabidopsis;maize"
"BP","GO:0050896","response to stimulus",2,"arabidopsis;barley"
"BP","GO:0051252","regulation of RNA metabolic process",2,"arabidopsis;maize"
"BP","GO:0065007","biological regulation",2,"arabidopsis;rice"
"MF","GO:0003824","catalytic activity",3,"arabidopsis;maize;rice"
"MF","GO:0005488","binding",3,"arabidopsis;maize;rice"
"MF","GO:0005524","ATP binding",3,"arabidopsis;maize;rice"
"MF","GO:0030554","adenyl nucleotide binding",3,"arabidopsis;maize;rice"
"MF","GO:0032559","adenyl ribonucleotide binding",3,"arabidopsis;maize;rice"
"MF","GO:0003677","DNA binding",2,"arabidopsis;maize"
"MF","GO:0003700","DNA-binding transcription factor activity",2,"arabidopsis;maize"
"MF","GO:0032553","ribonucleotide binding",2,"arabidopsis;rice"
"MF","GO:0032555","purine ribonucleotide binding",2,"arabidopsis;rice"
"MF","GO:0036094","small molecule binding",2,"arabidopsis;rice"
"MF","GO:0043167","ion binding",2,"arabidopsis;rice"
"MF","GO:0043168","anion binding",2,"arabidopsis;rice"
"MF","GO:0140096","""catalytic activity, acting on a protein (GO:0140096)""",2,"arabidopsis;maize"
"MF","GO:0140110","transcription regulator activity",2,"arabidopsis;maize"
"MF","GO:1901363","heterocyclic compound binding",2,"arabidopsis;rice"
