"domain","go_id","term","arabidopsis","maize","barley","sorghum","rice"
"BP","GO:0003006","developmental process involved in reproduction",2.94e-05,2.82e-05,NA,NA,NA
"BP","GO:0006355","regulation of DNA-templated transcription",1.13e-12,0.00557,NA,NA,NA
"BP","GO:0006402","mRNA catabolic process",NA,NA,0.00463,0.0216,NA
"BP","GO:0006950","response to stress",1.33e-05,NA,0.0125,NA,NA
"BP","GO:0007154","cell communication",2.25e-08,NA,NA,NA,0.00153
"BP","GO:0007165","signal transduction",8.22e-09,NA,NA,NA,0.0015
"BP","GO:0007275","multicellular organism development",1.11e-06,2.77e-06,NA,NA,NA
"BP","GO:0009791","post-embryonic development",2.82e-05,0.00107,0.0102,NA,NA
"BP","GO:0009908","flower development",3.36e-07,0.00181,NA,NA,NA
"BP","GO:0009987","cellular process",1.92e-11,0.000216,NA,NA,4.85e-11
"BP","GO:0019219","regulation of nucleobase-containing compound metabolic process",5.54e-12,0.00091,NA,NA,NA
"BP","GO:0023052","signaling",4.53e-08,NA,NA,NA,0.0015
"BP","GO:0032501","multicellular organismal process",2.64e-07,1.05e-06,NA,NA,NA
"BP","GO:0032502","developmental process",2.82e-07,1.7e-07,NA,NA,NA
"BP","GO:0032870","cellular response to hormone stimulus",1.22e-05,NA,0.00362,NA,NA
"BP","GO:0033993","response to lipid",3.44e-09,0.00655,NA,NA,NA
"BP","GO:0034293","sexual sporulation",NA,0.00112,0.0243,NA,NA
"BP","GO:0043170","macromolecule metabolic process",NA,0.00531,NA,NA,3.58e-07
"BP","GO:0043934","sporulation",NA,0.00112,0.0243,NA,NA
"BP","GO:0044238","primary metabolic process",NA,0.00489,NA,NA,3.08e-05
"BP","GO:0048236","plant-type sporogenesis",NA,0.00112,0.0243,NA,NA
"BP","GO:0048367","shoot system development",6.57e-06,0.00039,NA,NA,NA
"BP","GO:0048518","positive regulation of biological process",NA,0.00329,NA,NA,0.000225
"BP","GO:0048608","reproductive structure development",9.51e-06,0.000717,NA,NA,NA
"BP","GO:0048731","system development",1.44e-06,9.42e-06,NA,NA,NA
"BP","GO:0048856","anatomical structure development",1.46e-07,8.07e-08,NA,NA,NA
"BP","GO:0050789","regulation of biological process",2.08e-21,0.00124,NA,NA,8.22e-07
"BP","GO:0050794","regulation of cellular process",5.67e-21,0.001,NA,NA,1.24e-06
"BP","GO:0050896","response to stimulus",6.39e-13,NA,0.00093,NA,NA
"BP","GO:0051252","regulation of RNA metabolic process",5.04e-12,0.00183,NA,NA,NA
"BP","GO:0061458","reproductive system development",1.11e-05,0.000757,NA,NA,NA
"BP","GO:0065007","biological regulation",2.93e-23,0.00256,NA,NA,1.67e-08
"BP","GO:0070887","cellular response to chemical stimulus",2.03e-06,NA,0.0197,NA,NA
"BP","GO:0071495","cellular response to endogenous stimulus",1.06e-05,NA,0.00367,NA,NA
