Arabidopsis,Barley,Rice,Maize,Sorghum
AT1G01010,259I16.6,LOC_Os01g01790,Zm00001eb000770,SORBI_3001G040200
AT1G01020,CBF12C,LOC_Os01g02980,Zm00001eb000850,SORBI_3001G040300
AT1G01030,CBF6,LOC_Os01g03110,Zm00001eb000860,SORBI_3001G040400
AT1G01040,Cer-q,LOC_Os01g03720,Zm00001eb000870,SORBI_3001G040500
AT1G01050,MLO,LOC_Os01g03880,Zm00001eb001040,SORBI_3001G040600
AT1G01060,RBOHB1,LOC_Os01g03900,Zm00001eb001050,SORBI_3001G041300
AT1G01070,TOC1,LOC_Os01g04120,Zm00001eb001060,SORBI_3001G041400
AT1G01073,dof7,LOC_Os01g04950,Zm00001eb001470,SORBI_3001G041450
AT1G01080,HORVU.MOREX.r3.1HG0000060,LOC_Os01g05105,Zm00001eb001610,SORBI_3001G041500
AT1G01090,HORVU.MOREX.r3.1HG0000710,LOC_Os01g05500,Zm00001eb001620,SORBI_3001G041600
AT1G01100,HORVU.MOREX.r3.1HG0001070,LOC_Os01g06550,Zm00001eb001630,SORBI_3001G041700
AT1G01110,HORVU.MOREX.r3.1HG0001950,LOC_Os01g07070,Zm00001eb001640,SORBI_3001G042200
AT1G01115,HORVU.MOREX.r3.1HG0001980,LOC_Os01g07790,Zm00001eb001650,SORBI_3001G042301
AT1G01120,HORVU.MOREX.r3.1HG0002380,LOC_Os01g07800,Zm00001eb001810,SORBI_3001G042400
AT1G01130,HORVU.MOREX.r3.1HG0002630,LOC_Os01g07810,Zm00001eb001820,SORBI_3001G042500
AT1G01140,HORVU.MOREX.r3.1HG0002890,LOC_Os01g07820,Zm00001eb001830,SORBI_3001G042600
AT1G01150,HORVU.MOREX.r3.1HG0003090,LOC_Os01g07830,Zm00001eb001840,SORBI_3001G042700
AT1G01160,HORVU.MOREX.r3.1HG0003260,LOC_Os01g07940,Zm00001eb001920,SORBI_3001G042800
AT1G01180,HORVU.MOREX.r3.1HG0003990,LOC_Os01g07950,Zm00001eb001960,SORBI_3001G042901
AT1G01183,HORVU.MOREX.r3.1HG0004000,LOC_Os01g07970,Zm00001eb001970,SORBI_3001G043000
AT1G01190,HORVU.MOREX.r3.1HG0005040,LOC_Os01g07980,Zm00001eb001980,SORBI_3001G043100
AT1G01220,HORVU.MOREX.r3.1HG0005090,LOC_Os01g07990,Zm00001eb001990,SORBI_3001G043200
AT1G01240,HORVU.MOREX.r3.1HG0005130,LOC_Os01g08120,Zm00001eb002000,SORBI_3001G043300
AT1G01250,HORVU.MOREX.r3.1HG0005360,LOC_Os01g08160,Zm00001eb002010,SORBI_3001G043400
AT1G01260,HORVU.MOREX.r3.1HG0005400,LOC_Os01g08240,Zm00001eb002020,SORBI_3001G043500
AT1G01280,HORVU.MOREX.r3.1HG0005770,LOC_Os01g08250,Zm00001eb002170,SORBI_3001G043601
AT1G01290,HORVU.MOREX.r3.1HG0006100,LOC_Os01g08260,Zm00001eb002180,SORBI_3001G043700
AT1G01310,HORVU.MOREX.r3.1HG0006130,LOC_Os01g08280,Zm00001eb002190,SORBI_3001G043800
AT1G01320,HORVU.MOREX.r3.1HG0006160,LOC_Os01g08300,Zm00001eb002200,SORBI_3001G043900
AT1G01360,HORVU.MOREX.r3.1HG0006230,LOC_Os01g08310,Zm00001eb002210,SORBI_3001G044900
AT1G01370,HORVU.MOREX.r3.1HG0006420,LOC_Os01g08320,Zm00001eb002220,SORBI_3001G045000
AT1G01380,HORVU.MOREX.r3.1HG0006570,LOC_Os01g08330,Zm00001eb002240,SORBI_3001G045100
AT1G01390,HORVU.MOREX.r3.1HG0007230,LOC_Os01g08370,Zm00001eb002250,SORBI_3001G045300
AT1G01400,HORVU.MOREX.r3.1HG0007460,LOC_Os01g09120,Zm00001eb002260,SORBI_3001G045400
AT1G01410,HORVU.MOREX.r3.1HG0007690,LOC_Os01g09490,Zm00001eb002310,SORBI_3001G045500
AT1G01430,HORVU.MOREX.r3.1HG0007850,LOC_Os01g09520,Zm00001eb002320,SORBI_3001G045600
AT1G01440,HORVU.MOREX.r3.1HG0008100,LOC_Os01g09550,Zm00001eb002410,SORBI_3001G047900
AT1G01448,HORVU.MOREX.r3.1HG0008310,LOC_Os01g09560,Zm00001eb002420,SORBI_3001G048000
AT1G01453,HORVU.MOREX.r3.1HG0008490,LOC_Os01g09570,Zm00001eb002430,SORBI_3001G048100
AT1G01460,HORVU.MOREX.r3.1HG0008690,LOC_Os01g09580,Zm00001eb002470,SORBI_3001G048200
AT1G01470,HORVU.MOREX.r3.1HG0008860,LOC_Os01g09590,Zm00001eb002480,SORBI_3001G048300
AT1G01490,HORVU.MOREX.r3.1HG0008900,LOC_Os01g09600,Zm00001eb002490,SORBI_3001G048400
AT1G01500,HORVU.MOREX.r3.1HG0009100,LOC_Os01g09640,Zm00001eb002640,SORBI_3001G048500
AT1G01530,HORVU.MOREX.r3.1HG0009380,LOC_Os01g09810,Zm00001eb002740,SORBI_3001G048600
AT1G01550,HORVU.MOREX.r3.1HG0010330,LOC_Os01g09980,Zm00001eb002750,SORBI_3001G062700
AT1G01570,HORVU.MOREX.r3.1HG0010370,LOC_Os01g09990,Zm00001eb002760,SORBI_3001G062750
AT1G01580,HORVU.MOREX.r3.1HG0010400,LOC_Os01g10000,Zm00001eb003080,SORBI_3001G062800
AT1G01590,HORVU.MOREX.r3.1HG0010620,LOC_Os01g10010,Zm00001eb003090,SORBI_3001G062900
AT1G01610,HORVU.MOREX.r3.1HG0011020,LOC_Os01g10020,Zm00001eb003150,SORBI_3001G063000
AT1G01620,HORVU.MOREX.r3.1HG0012680,LOC_Os01g10030,Zm00001eb003160,SORBI_3001G063100
AT1G01630,HORVU.MOREX.r3.1HG0013050,LOC_Os01g10140,Zm00001eb003170,SORBI_3001G063200
AT1G01650,HORVU.MOREX.r3.1HG0013800,LOC_Os01g10150,Zm00001eb003220,SORBI_3001G063300
AT1G01660,HORVU.MOREX.r3.1HG0013820,LOC_Os01g10250,Zm00001eb003230,SORBI_3001G063400
AT1G01670,HORVU.MOREX.r3.1HG0014090,LOC_Os01g10430,Zm00001eb003480,SORBI_3001G070600
AT1G01680,HORVU.MOREX.r3.1HG0015390,LOC_Os01g10550,Zm00001eb003490,SORBI_3001G070700
AT1G01690,HORVU.MOREX.r3.1HG0024060,LOC_Os01g10580,Zm00001eb004380,SORBI_3001G070800
AT1G01695,HORVU.MOREX.r3.1HG0026430,LOC_Os01g10630,Zm00001eb004390,SORBI_3001G070900
AT1G01700,HORVU.MOREX.r3.1HG0041440,LOC_Os01g10640,Zm00001eb004400,SORBI_3001G071000
AT1G01710,HORVU.MOREX.r3.1HG0042470,LOC_Os01g10650,Zm00001eb004410,SORBI_3001G071100
AT1G01740,HORVU.MOREX.r3.1HG0043650,LOC_Os01g10660,Zm00001eb004940,SORBI_3001G084000
