"species","gene","pvalue"
"Arabidopsis","AT2G15530",8.702079e-13
"Arabidopsis","AT2G15535",8.702079e-13
"Arabidopsis","AT2G15555",8.702079e-13
"Arabidopsis","AT2G15560",8.702079e-13
"Arabidopsis","AT2G15570",8.702079e-13
"Arabidopsis","AT2G15580",8.702079e-13
"Arabidopsis","AT2G15590",8.702079e-13
"Arabidopsis","AT2G15610",8.702079e-13
"Arabidopsis","AT2G15620",8.702079e-13
"Arabidopsis","AT2G15630",8.702079e-13
"Arabidopsis","AT2G15460",4.03693e-12
"Arabidopsis","AT2G15470",4.03693e-12
"Arabidopsis","AT2G15480",4.03693e-12
"Arabidopsis","AT2G15490",4.03693e-12
"Arabidopsis","AT2G15500",4.03693e-12
"Arabidopsis","AT2G15440",1.895282e-11
"Arabidopsis","AT2G15450",1.895282e-11
"Arabidopsis","AT3G42310",2.639853e-11
"Arabidopsis","AT3G42380",2.639853e-11
"Arabidopsis","AT4G15510",7.550951e-11
"Arabidopsis","AT4G15520",7.550951e-11
"Arabidopsis","AT4G15530",7.550951e-11
"Arabidopsis","AT4G15540",7.550951e-11
"Arabidopsis","AT4G15545",7.550951e-11
"Arabidopsis","AT4G15550",7.550951e-11
"Arabidopsis","AT4G15560",7.550951e-11
"Arabidopsis","AT4G15563",7.550951e-11
"Arabidopsis","AT4G15570",7.550951e-11
"Arabidopsis","AT4G21366",1.414694e-10
"Arabidopsis","AT4G21380",1.414694e-10
"Arabidopsis","AT4G21390",1.414694e-10
"Arabidopsis","AT4G21400",1.414694e-10
"Arabidopsis","AT4G21410",1.414694e-10
"Arabidopsis","AT4G21430",1.414694e-10
"Arabidopsis","AT4G21440",1.414694e-10
"Arabidopsis","AT4G21445",1.414694e-10
"Arabidopsis","AT4G21450",1.414694e-10
"Arabidopsis","AT4G21460",1.414694e-10
"Arabidopsis","AT2G41945",1.939691e-10
"Arabidopsis","AT2G41950",1.939691e-10
"Arabidopsis","AT2G41960",1.939691e-10
"Arabidopsis","AT2G41970",1.939691e-10
"Arabidopsis","AT2G41980",1.939691e-10
"Arabidopsis","AT2G41990",1.939691e-10
"Arabidopsis","AT2G42000",1.939691e-10
"Arabidopsis","AT2G42005",1.939691e-10
"Arabidopsis","AT2G42010",1.939691e-10
"Arabidopsis","AT2G42020",1.939691e-10
"Arabidopsis","AT2G42030",1.939691e-10
"Arabidopsis","AT2G42040",1.939691e-10
"Arabidopsis","AT2G42060",1.939691e-10
"Arabidopsis","AT2G42070",1.939691e-10
"Arabidopsis","AT2G42080",1.939691e-10
"Arabidopsis","AT2G42090",1.939691e-10
"Arabidopsis","AT2G42100",1.939691e-10
"Arabidopsis","AT2G42110",1.939691e-10
"Arabidopsis","AT2G42120",1.939691e-10
"Arabidopsis","AT4G15500",3.385461e-10
"Arabidopsis","AT2G24240",1.154076e-09
"Arabidopsis","AT2G24250",1.154076e-09
"Arabidopsis","AT2G24255",1.154076e-09
"Arabidopsis","AT2G24260",1.154076e-09
"Arabidopsis","AT2G24270",1.154076e-09
"Arabidopsis","AT2G24280",1.154076e-09
"Arabidopsis","AT2G24285",1.154076e-09
"Arabidopsis","AT2G24290",1.154076e-09
"Arabidopsis","AT2G24300",1.154076e-09
"Arabidopsis","AT2G24310",1.154076e-09
"Arabidopsis","AT2G24320",1.154076e-09
"Arabidopsis","AT2G24330",1.154076e-09
"Arabidopsis","AT2G24340",1.154076e-09
"Arabidopsis","AT2G24350",1.154076e-09
"Arabidopsis","AT1G07580",1.302219e-09
"Arabidopsis","AT1G07590",1.302219e-09
"Arabidopsis","AT1G07600",1.302219e-09
"Arabidopsis","AT1G07610",1.302219e-09
"Arabidopsis","AT1G07615",1.302219e-09
"Arabidopsis","AT1G07620",1.302219e-09
"Arabidopsis","AT1G07630",1.302219e-09
"Arabidopsis","AT1G07640",1.302219e-09
"Arabidopsis","AT1G07645",1.302219e-09
"Arabidopsis","AT1G07650",1.302219e-09
"Arabidopsis","AT1G07660",1.302219e-09
"Arabidopsis","AT1G07670",1.302219e-09
"Arabidopsis","AT1G07680",1.302219e-09
"Arabidopsis","AT1G07690",1.302219e-09
"Arabidopsis","AT1G07700",1.302219e-09
"Arabidopsis","AT1G07702",1.302219e-09
"Arabidopsis","AT1G07705",1.302219e-09
"Arabidopsis","AT2G41940",1.39993e-09
"Arabidopsis","AT3G43940",1.52008e-09
"Arabidopsis","AT3G43950",1.52008e-09
"Arabidopsis","AT3G43960",1.52008e-09
"Arabidopsis","AT3G43970",1.52008e-09
"Arabidopsis","AT3G43980",1.52008e-09
"Arabidopsis","AT3G43990",1.52008e-09
"Arabidopsis","AT3G44006",1.52008e-09
"Arabidopsis","AT3G44010",1.52008e-09
"Arabidopsis","AT3G44020",1.52008e-09
"Arabidopsis","AT3G44230",2.404703e-09
"Arabidopsis","AT3G44235",2.404703e-09
"Arabidopsis","AT3G44240",2.404703e-09
