GeneID,Species,PC1,PC2,PC3,pH,soilN,AM_rel_abundance_colonization,AM_roots_colonized,aridity_index
Zm00001eb023610,Arabidopsis;Barley;Maize;Sorghum,0,0,0,0,0,0,1,0
Zm00001eb046210,Arabidopsis;Barley;Maize;Sorghum,0,0,0,0,0,1,1,1
Zm00001eb053220,Arabidopsis;Barley;Maize;Sorghum,0,0,0,1,1,0,0,1
Zm00001eb082170,Arabidopsis;Barley;Maize;Sorghum,0,0,1,0,0,0,0,0
Zm00001eb112180,Arabidopsis;Barley;Maize;Sorghum,0,0,1,0,0,0,0,0
Zm00001eb126980,Arabidopsis;Barley;Maize;Sorghum,1,1,1,0,0,0,0,1
Zm00001eb152390,Arabidopsis;Barley;Maize;Sorghum,0,0,0,0,0,0,1,0
Zm00001eb162570,Arabidopsis;Barley;Maize;Sorghum,0,1,0,0,0,0,0,0
Zm00001eb180070,Arabidopsis;Barley;Maize;Sorghum,0,0,0,0,0,1,0,0
Zm00001eb222030,Arabidopsis;Barley;Maize;Sorghum,0,0,0,0,0,1,0,0
Zm00001eb245250,Arabidopsis;Barley;Maize;Sorghum,0,0,0,0,0,1,0,0
Zm00001eb251130,Arabidopsis;Barley;Maize;Sorghum,0,1,0,1,0,1,0,0
Zm00001eb289290,Arabidopsis;Barley;Maize;Sorghum,0,0,1,1,0,1,0,0
Zm00001eb304390,Arabidopsis;Barley;Maize;Sorghum,0,1,1,0,0,1,0,0
Zm00001eb335710,Arabidopsis;Barley;Maize;Sorghum,0,0,0,0,0,0,1,0
Zm00001eb342280,Arabidopsis;Barley;Maize;Sorghum,0,0,0,0,0,1,0,0
Zm00001eb371840,Arabidopsis;Barley;Maize;Sorghum,0,1,0,1,0,0,0,0
