Variable,PC,loading,species,bio_name,bio_label
BIO01,PC1,-0.172482386597701,arabidopsis,Annual Mean Temperature,BIO01  Annual Mean Temperature
BIO01,PC2,0.334701008340354,arabidopsis,Annual Mean Temperature,BIO01  Annual Mean Temperature
BIO01,PC3,0.119516129657967,arabidopsis,Annual Mean Temperature,BIO01  Annual Mean Temperature
BIO02,PC1,0.173051539805379,arabidopsis,Mean Diurnal Range,BIO02  Mean Diurnal Range
BIO02,PC2,0.199310035336164,arabidopsis,Mean Diurnal Range,BIO02  Mean Diurnal Range
BIO02,PC3,0.300298847922769,arabidopsis,Mean Diurnal Range,BIO02  Mean Diurnal Range
BIO03,PC1,-0.206961052774682,arabidopsis,Isothermality,BIO03  Isothermality
BIO03,PC2,0.252526470217125,arabidopsis,Isothermality,BIO03  Isothermality
BIO03,PC3,-0.028262908282599,arabidopsis,Isothermality,BIO03  Isothermality
BIO04,PC1,0.326006801965001,arabidopsis,Temperature Seasonality,BIO04  Temperature Seasonality
BIO04,PC2,-0.0954016396429468,arabidopsis,Temperature Seasonality,BIO04  Temperature Seasonality
BIO04,PC3,0.279663064748075,arabidopsis,Temperature Seasonality,BIO04  Temperature Seasonality
BIO05,PC1,0.088883801918869,arabidopsis,Max Temperature of Warmest Month,BIO05  Max Temperature of Warmest Month
BIO05,PC2,0.319617386235955,arabidopsis,Max Temperature of Warmest Month,BIO05  Max Temperature of Warmest Month
BIO05,PC3,0.319982032533705,arabidopsis,Max Temperature of Warmest Month,BIO05  Max Temperature of Warmest Month
BIO06,PC1,-0.295268206917951,arabidopsis,Min Temperature of Coldest Month,BIO06  Min Temperature of Coldest Month
BIO06,PC2,0.233789600892429,arabidopsis,Min Temperature of Coldest Month,BIO06  Min Temperature of Coldest Month
BIO06,PC3,-0.137639387563535,arabidopsis,Min Temperature of Coldest Month,BIO06  Min Temperature of Coldest Month
BIO07,PC1,0.317711095524286,arabidopsis,Temperature Annual Range,BIO07  Temperature Annual Range
BIO07,PC2,-0.00930011942361493,arabidopsis,Temperature Annual Range,BIO07  Temperature Annual Range
BIO07,PC3,0.321132038511112,arabidopsis,Temperature Annual Range,BIO07  Temperature Annual Range
BIO08,PC1,0.161679555230559,arabidopsis,Mean Temperature of Wettest Quarter,BIO08  Mean Temperature of Wettest Quarter
BIO08,PC2,0.0399178535418835,arabidopsis,Mean Temperature of Wettest Quarter,BIO08  Mean Temperature of Wettest Quarter
BIO08,PC3,0.262375365149616,arabidopsis,Mean Temperature of Wettest Quarter,BIO08  Mean Temperature of Wettest Quarter
BIO09,PC1,-0.212083238271012,arabidopsis,Mean Temperature of Driest Quarter,BIO09  Mean Temperature of Driest Quarter
BIO09,PC2,0.302076516697408,arabidopsis,Mean Temperature of Driest Quarter,BIO09  Mean Temperature of Driest Quarter
BIO09,PC3,-0.0200552267504637,arabidopsis,Mean Temperature of Driest Quarter,BIO09  Mean Temperature of Driest Quarter
BIO10,PC1,0.0386796389945726,arabidopsis,Mean Temperature of Warmest Quarter,BIO10  Mean Temperature of Warmest Quarter
BIO10,PC2,0.30785088910309,arabidopsis,Mean Temperature of Warmest Quarter,BIO10  Mean Temperature of Warmest Quarter
BIO10,PC3,0.312732390932707,arabidopsis,Mean Temperature of Warmest Quarter,BIO10  Mean Temperature of Warmest Quarter
BIO11,PC1,-0.275994878031798,arabidopsis,Mean Temperature of Coldest Quarter,BIO11  Mean Temperature of Coldest Quarter
BIO11,PC2,0.277769569456262,arabidopsis,Mean Temperature of Coldest Quarter,BIO11  Mean Temperature of Coldest Quarter
BIO11,PC3,-0.0696534519096932,arabidopsis,Mean Temperature of Coldest Quarter,BIO11  Mean Temperature of Coldest Quarter
BIO12,PC1,-0.294572332282089,arabidopsis,Annual Precipitation,BIO12  Annual Precipitation
BIO12,PC2,-0.181129895428987,arabidopsis,Annual Precipitation,BIO12  Annual Precipitation
BIO12,PC3,0.288088118238685,arabidopsis,Annual Precipitation,BIO12  Annual Precipitation
BIO13,PC1,-0.260662643970894,arabidopsis,Precipitation of Wettest Month,BIO13  Precipitation of Wettest Month
BIO13,PC2,-0.0893326152713566,arabidopsis,Precipitation of Wettest Month,BIO13  Precipitation of Wettest Month
BIO13,PC3,0.345782070836044,arabidopsis,Precipitation of Wettest Month,BIO13  Precipitation of Wettest Month
BIO14,PC1,-0.222375856282406,arabidopsis,Precipitation of Driest Month,BIO14  Precipitation of Driest Month
BIO14,PC2,-0.285961993729543,arabidopsis,Precipitation of Driest Month,BIO14  Precipitation of Driest Month
BIO14,PC3,0.0767610197197014,arabidopsis,Precipitation of Driest Month,BIO14  Precipitation of Driest Month
BIO15,PC1,0.0377198287028353,arabidopsis,Precipitation Seasonality,BIO15  Precipitation Seasonality
BIO15,PC2,0.219751163131685,arabidopsis,Precipitation Seasonality,BIO15  Precipitation Seasonality
BIO15,PC3,0.135730003893081,arabidopsis,Precipitation Seasonality,BIO15  Precipitation Seasonality
BIO16,PC1,-0.280069395645177,arabidopsis,Precipitation of Wettest Quarter,BIO16  Precipitation of Wettest Quarter
BIO16,PC2,-0.106351325998714,arabidopsis,Precipitation of Wettest Quarter,BIO16  Precipitation of Wettest Quarter
BIO16,PC3,0.319939534583878,arabidopsis,Precipitation of Wettest Quarter,BIO16  Precipitation of Wettest Quarter
BIO17,PC1,-0.226280712571916,arabidopsis,Precipitation of Driest Quarter,BIO17  Precipitation of Driest Quarter
BIO17,PC2,-0.271103141886631,arabidopsis,Precipitation of Driest Quarter,BIO17  Precipitation of Driest Quarter
BIO17,PC3,0.126236360265116,arabidopsis,Precipitation of Driest Quarter,BIO17  Precipitation of Driest Quarter
BIO18,PC1,-0.0695549789681688,arabidopsis,Precipitation of Warmest Quarter,BIO18  Precipitation of Warmest Quarter
BIO18,PC2,-0.311219811388863,arabidopsis,Precipitation of Warmest Quarter,BIO18  Precipitation of Warmest Quarter
BIO18,PC3,0.208602950401467,arabidopsis,Precipitation of Warmest Quarter,BIO18  Precipitation of Warmest Quarter
BIO19,PC1,-0.326045129090238,arabidopsis,Precipitation of Coldest Quarter,BIO19  Precipitation of Coldest Quarter
BIO19,PC2,-0.0344973928749441,arabidopsis,Precipitation of Coldest Quarter,BIO19  Precipitation of Coldest Quarter
BIO19,PC3,0.177437827709987,arabidopsis,Precipitation of Coldest Quarter,BIO19  Precipitation of Coldest Quarter
BIO01,PC1,-0.327261511013243,barley,Annual Mean Temperature,BIO01  Annual Mean Temperature
BIO01,PC2,-0.240665514028733,barley,Annual Mean Temperature,BIO01  Annual Mean Temperature
BIO01,PC3,0.0432844148777007,barley,Annual Mean Temperature,BIO01  Annual Mean Temperature
BIO02,PC1,0.207066288856696,barley,Mean Diurnal Range,BIO02  Mean Diurnal Range
BIO02,PC2,-0.145367813507644,barley,Mean Diurnal Range,BIO02  Mean Diurnal Range
BIO02,PC3,0.320082819381958,barley,Mean Diurnal Range,BIO02  Mean Diurnal Range
BIO03,PC1,-0.0827783284026185,barley,Isothermality,BIO03  Isothermality
BIO03,PC2,0.0577384461271361,barley,Isothermality,BIO03  Isothermality
BIO03,PC3,0.35846371260802,barley,Isothermality,BIO03  Isothermality
BIO04,PC1,0.257801012297466,barley,Temperature Seasonality,BIO04  Temperature Seasonality
BIO04,PC2,-0.165655874850255,barley,Temperature Seasonality,BIO04  Temperature Seasonality
BIO04,PC3,-0.0552781679139139,barley,Temperature Seasonality,BIO04  Temperature Seasonality
BIO05,PC1,-0.181078136434588,barley,Max Temperature of Warmest Month,BIO05  Max Temperature of Warmest Month
BIO05,PC2,-0.354111577319395,barley,Max Temperature of Warmest Month,BIO05  Max Temperature of Warmest Month
BIO05,PC3,-0.0033188686587058,barley,Max Temperature of Warmest Month,BIO05  Max Temperature of Warmest Month
BIO06,PC1,-0.37665987167988,barley,Min Temperature of Coldest Month,BIO06  Min Temperature of Coldest Month
BIO06,PC2,-0.136219472690041,barley,Min Temperature of Coldest Month,BIO06  Min Temperature of Coldest Month
BIO06,PC3,-0.0659157840493183,barley,Min Temperature of Coldest Month,BIO06  Min Temperature of Coldest Month
BIO07,PC1,0.294565720170432,barley,Temperature Annual Range,BIO07  Temperature Annual Range
BIO07,PC2,-0.186321896162225,barley,Temperature Annual Range,BIO07  Temperature Annual Range
BIO07,PC3,0.0803347259057443,barley,Temperature Annual Range,BIO07  Temperature Annual Range
BIO08,PC1,-0.16402382090883,barley,Mean Temperature of Wettest Quarter,BIO08  Mean Temperature of Wettest Quarter
BIO08,PC2,0.0568509078041881,barley,Mean Temperature of Wettest Quarter,BIO08  Mean Temperature of Wettest Quarter
BIO08,PC3,0.147977056076938,barley,Mean Temperature of Wettest Quarter,BIO08  Mean Temperature of Wettest Quarter
BIO09,PC1,-0.254087406259686,barley,Mean Temperature of Driest Quarter,BIO09  Mean Temperature of Driest Quarter
BIO09,PC2,-0.295677786615513,barley,Mean Temperature of Driest Quarter,BIO09  Mean Temperature of Driest Quarter
BIO09,PC3,-0.0529797795302019,barley,Mean Temperature of Driest Quarter,BIO09  Mean Temperature of Driest Quarter
