chr,rs,ps,p_wald,n_genes_25kb,genes_in_25kb,closest_gene,closest_gene_id,closest_gene_distance_bp
2,Chr2_4670787.0,4670787,6.41913e-11,0,,,,
2,Chr2_4670844.0,4670844,6.41913e-11,0,,,,
2,Chr2_4670846.0,4670846,6.41913e-11,0,,,,
5,Chr5_25628715.0,25628715,1.383238e-10,1,AT5G64040,AT5G64040,AT5G64040,0.0
4,Chr4_5229095.0,5229095,1.396607e-09,0,,,,
2,Chr2_4670829.0,4670829,1.451385e-09,0,,,,
5,Chr5_24943180.0,24943180,1.736502e-08,1,AT5G62110,AT5G62110,AT5G62110,0.0
2,Chr2_7623407.0,7623407,9.461076e-08,0,,,,
5,Chr5_5347658.0,5347658,1.276283e-07,0,,,,
2,Chr2_7636620.0,7636620,1.489344e-07,1,AT2G17550,AT2G17550,AT2G17550,0.0
2,Chr2_7630427.0,7630427,1.819442e-07,1,AT2G17540,AT2G17540,AT2G17540,0.0
2,Chr2_7623355.0,7623355,1.907353e-07,0,,,,
2,Chr2_7632702.0,7632702,2.160181e-07,0,,,,
1,Chr1_4849214.0,4849214,2.26126e-07,0,,,,
5,Chr5_5347866.0,5347866,2.374024e-07,0,,,,
1,Chr1_5616158.0,5616158,2.644824e-07,1,AT1G16440,AT1G16440,AT1G16440,0.0
5,Chr5_25554421.0,25554421,3.250466e-07,0,,,,
5,Chr5_25554337.0,25554337,3.286644e-07,0,,,,
5,Chr5_25554582.0,25554582,3.286644e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25554630.0,25554630,3.286644e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25554631.0,25554631,3.286644e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25554813.0,25554813,3.286644e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25554816.0,25554816,3.286644e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25554818.0,25554818,3.286644e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25554819.0,25554819,3.286644e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25554893.0,25554893,3.286644e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25554919.0,25554919,3.286644e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25554922.0,25554922,3.286644e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25554931.0,25554931,3.286644e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25554991.0,25554991,3.286644e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25554998.0,25554998,3.286644e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25555000.0,25555000,3.286644e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25555004.0,25555004,3.286644e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25555042.0,25555042,3.286644e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25555060.0,25555060,3.286644e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25555163.0,25555163,3.286644e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25555169.0,25555169,3.286644e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25555176.0,25555176,3.286644e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25555181.0,25555181,3.286644e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25555193.0,25555193,3.286644e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25555205.0,25555205,3.286644e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25555226.0,25555226,3.286644e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_5316530.0,5316530,4.219052e-07,1,AT5G16270,AT5G16270,AT5G16270,0.0
2,Chr2_6777260.0,6777260,4.289621e-07,1,AT2G15530,AT2G15530,AT2G15530,0.0
2,Chr2_5885988.0,5885988,4.634504e-07,0,,,,
5,Chr5_25554451.0,25554451,4.793014e-07,0,,,,
5,Chr5_25554456.0,25554456,4.793014e-07,0,,,,
2,Chr2_8767047.0,8767047,5.191215e-07,1,AT2G20320,AT2G20320,AT2G20320,0.0
5,Chr5_25556912.0,25556912,5.256725e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
4,Chr4_5941084.0,5941084,5.313877e-07,1,AT4G09360,AT4G09360,AT4G09360,0.0
4,Chr4_5942171.0,5942171,5.313877e-07,1,AT4G09360,AT4G09360,AT4G09360,0.0
5,Chr5_25556690.0,25556690,5.478515e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_24088793.0,24088793,5.51219e-07,0,,,,
2,Chr2_6777980.0,6777980,5.677595e-07,1,AT2G15530,AT2G15530,AT2G15530,0.0
5,Chr5_5320765.0,5320765,6.050958e-07,1,AT5G16270,AT5G16270,AT5G16270,0.0
5,Chr5_5326970.0,5326970,6.050958e-07,1,AT5G16280,AT5G16280,AT5G16280,0.0
5,Chr5_5327542.0,5327542,6.050958e-07,1,AT5G16280,AT5G16280,AT5G16280,0.0
5,Chr5_5327645.0,5327645,6.050958e-07,1,AT5G16280,AT5G16280,AT5G16280,0.0
5,Chr5_5328663.0,5328663,6.050958e-07,1,AT5G16280,AT5G16280,AT5G16280,0.0
5,Chr5_25555743.0,25555743,6.807838e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_2487917.0,2487917,6.888556e-07,1,AT5G07800,AT5G07800,AT5G07800,0.0
5,Chr5_2487980.0,2487980,6.888556e-07,1,AT5G07800,AT5G07800,AT5G07800,0.0
5,Chr5_5326451.0,5326451,7.097319e-07,1,AT5G16280,AT5G16280,AT5G16280,0.0
2,Chr2_7436439.0,7436439,8.48301e-07,1,AT2G17090,AT2G17090,AT2G17090,0.0
5,Chr5_25556913.0,25556913,8.592224e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
2,Chr2_7422151.0,7422151,8.736307e-07,0,,,,
5,Chr5_25555269.0,25555269,8.917481e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25555338.0,25555338,8.917481e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25555345.0,25555345,8.917481e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25555366.0,25555366,8.917481e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25555418.0,25555418,8.917481e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25555445.0,25555445,8.917481e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25555703.0,25555703,8.917481e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25555718.0,25555718,8.917481e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25555875.0,25555875,8.917481e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25555886.0,25555886,8.917481e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25555894.0,25555894,8.917481e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25556045.0,25556045,8.917481e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25556061.0,25556061,8.917481e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
5,Chr5_25556066.0,25556066,8.917481e-07,1,AT5G63860,AT5G63860,AT5G63860,0.0
