Orthogroup	Gene_count	Maize_gene	Maize_pvalue_max	Sorghum_gene	Sorghum_pvalue_max	Rice_gene	Rice_pvalue_max	Barley_gene	Barley_pvalue_max	Arabidopsis_gene	Arabidopsis_pvalue_max
434009at2759	5	Zm00001eb015460	Zm00001eb015460:0.00289499	SORBI_3003G331000	SORBI_3003G331000:0.00138136	LOC_Os11g01280	LOC_Os11g01280:0.000309914	gene:HORVU.MOREX.r3.5HG0425710	gene:HORVU.MOREX.r3.5HG0425710:0.0026965	AT3G45400;AT5G16890	AT3G45400:1.94722e-08;AT5G16890:2.04099e-05
643341at2759	5	Zm00001eb032940;Zm00001eb222050;Zm00001eb336650;Zm00001eb378340;Zm00001eb402940;Zm00001eb403550	Zm00001eb032940:0.000929672;Zm00001eb222050:0.00106888;Zm00001eb336650:0.000821052;Zm00001eb378340:0.00419728;Zm00001eb402940:0.0033131;Zm00001eb403550:0.00181598	SORBI_3006G217900	SORBI_3006G217900:0.00130853	LOC_Os02g01540	LOC_Os02g01540:0.00039681	gene:HORVU.MOREX.r3.1HG0041440	gene:HORVU.MOREX.r3.1HG0041440:0.000106217	AT2G02220;AT3G49670	AT2G02220:0.000302713;AT3G49670:5.0665e-05
643341at33090	5	Zm00001eb032940;Zm00001eb222050;Zm00001eb336650;Zm00001eb378340;Zm00001eb402940;Zm00001eb403550	Zm00001eb032940:0.000929672;Zm00001eb222050:0.00106888;Zm00001eb336650:0.000821052;Zm00001eb378340:0.00419728;Zm00001eb402940:0.0033131;Zm00001eb403550:0.00181598	SORBI_3006G217900	SORBI_3006G217900:0.00130853	LOC_Os02g01540	LOC_Os02g01540:0.00039681	gene:HORVU.MOREX.r3.1HG0041440	gene:HORVU.MOREX.r3.1HG0041440:0.000106217	AT2G02220;AT3G49670	AT2G02220:0.000302713;AT3G49670:5.0665e-05
