PC1_Arabidopsis,PC1_Barley,PC1_Rice,PC1_Maize,PC1_Sorghum,PC2_Arabidopsis,PC2_Barley,PC2_Rice,PC2_Maize,PC2_Sorghum,PC3_Arabidopsis,PC3_Barley,PC3_Rice,PC3_Maize,PC3_Sorghum,pH_Arabidopsis,pH_Barley,pH_Rice,pH_Maize,pH_Sorghum,soilN_Arabidopsis,soilN_Barley,soilN_Rice,soilN_Maize,soilN_Sorghum,AM_rel_Arabidopsis,AM_rel_Barley,AM_rel_Rice,AM_rel_Maize,AM_rel_Sorghum,AM_roots_Arabidopsis,AM_roots_Barley,AM_roots_Rice,AM_roots_Maize,AM_roots_Sorghum,aridity_Arabidopsis,aridity_Barley,aridity_Rice,aridity_Maize,aridity_Sorghum
AT1G01160,HORVU.MOREX.r3.1HG0001020,LOC_Os01g01010,Zm00001eb000540,SORBI_3001G003100,AT1G01440,HORVU.MOREX.r3.1HG0001020,LOC_Os01g01200,Zm00001eb000170,SORBI_3001G012300,AT1G01010,HORVU.MOREX.r3.1HG0000990,LOC_Os01g01090,Zm00001eb000770,SORBI_3001G003100,AT1G01040,HORVU.MOREX.r3.1HG0001920,LOC_Os01g01010,Zm00001eb000880,SORBI_3001G023500,AT1G01460,HORVU.MOREX.r3.1HG0000060,LOC_Os01g01790,Zm00001eb000390,SORBI_3001G040100,AT1G01390,HORVU.MOREX.r3.1HG0000220,LOC_Os01g01307,Zm00001eb000460,SORBI_3001G012300,AT1G01050,HORVU.MOREX.r3.1HG0002020,LOC_Os01g01260,Zm00001eb000650,SORBI_3001G003500,AT1G01050,CBF11,LOC_Os01g01140,4CLL9_0,CYP79A1
AT1G01190,HORVU.MOREX.r3.1HG0001030,LOC_Os01g01019,Zm00001eb000620,SORBI_3001G003200,AT1G01448,HORVU.MOREX.r3.1HG0001030,LOC_Os01g01210,Zm00001eb000180,SORBI_3001G012400,AT1G01020,HORVU.MOREX.r3.1HG0001010,LOC_Os01g01100,Zm00001eb000780,SORBI_3001G003200,AT1G01120,HORVU.MOREX.r3.1HG0001930,LOC_Os01g01019,Zm00001eb000920,SORBI_3001G023600,AT1G01480,HORVU.MOREX.r3.1HG0000070,LOC_Os01g02980,Zm00001eb000400,SORBI_3001G040200,AT1G01500,HORVU.MOREX.r3.1HG0000230,LOC_Os01g01800,Zm00001eb000470,SORBI_3001G012400,AT1G01080,HORVU.MOREX.r3.1HG0002040,LOC_Os01g01450,Zm00001eb000660,SORBI_3001G003600,AT1G01100,CslD2,LOC_Os01g01150,9C20.2,SORBI_3001G003500
AT1G01200,HORVU.MOREX.r3.1HG0001980,LOC_Os01g01040,Zm00001eb000630,SORBI_3001G003300,AT1G01453,HORVU.MOREX.r3.1HG0001100,LOC_Os01g01302,Zm00001eb000190,SORBI_3001G012500,AT1G01030,HORVU.MOREX.r3.1HG0001920,LOC_Os01g01210,Zm00001eb000920,SORBI_3001G003300,AT1G01130,HORVU.MOREX.r3.1HG0001940,LOC_Os01g01040,Zm00001eb000930,SORBI_3001G023700,AT1G01520,HORVU.MOREX.r3.1HG0000080,LOC_Os01g03110,Zm00001eb000410,SORBI_3001G040300,AT1G01520,HORVU.MOREX.r3.1HG0000240,LOC_Os01g02020,Zm00001eb000480,SORBI_3001G012500,AT1G01110,HORVU.MOREX.r3.1HG0002050,LOC_Os01g01560,Zm00001eb001070,SORBI_3001G003700,AT1G01115,Ert-m,LOC_Os01g01200,AAE3_1,SORBI_3001G003600
AT1G01320,HORVU.MOREX.r3.1HG0001990,LOC_Os01g01050,Zm00001eb001350,SORBI_3001G003400,AT1G01470,HORVU.MOREX.r3.1HG0001110,LOC_Os01g01312,Zm00001eb000200,SORBI_3001G021400,AT1G01040,HORVU.MOREX.r3.1HG0001930,LOC_Os01g01240,Zm00001eb000930,SORBI_3001G003400,AT1G01240,HORVU.MOREX.r3.1HG0001950,LOC_Os01g01050,Zm00001eb000940,SORBI_3001G023800,AT1G01530,HORVU.MOREX.r3.1HG0000090,LOC_Os01g03720,Zm00001eb000420,SORBI_3001G040400,AT1G01530,HORVU.MOREX.r3.1HG0000250,LOC_Os01g02110,Zm00001eb001070,SORBI_3001G012600,AT1G01180,HORVU.MOREX.r3.1HG0002060,LOC_Os01g01900,Zm00001eb001260,SORBI_3001G003900,AT1G01120,GLK2,LOC_Os01g01210,ABCG10_0,SORBI_3001G016600
AT1G01453,HORVU.MOREX.r3.1HG0002010,LOC_Os01g01070,Zm00001eb001360,SORBI_3001G003500,AT1G01471,HORVU.MOREX.r3.1HG0001120,LOC_Os01g01380,Zm00001eb000340,SORBI_3001G021500,AT1G01050,HORVU.MOREX.r3.1HG0001940,LOC_Os01g01312,Zm00001eb000940,SORBI_3001G003500,AT1G01260,HORVU.MOREX.r3.1HG0001980,LOC_Os01g01070,Zm00001eb001010,SORBI_3001G023900,AT1G01540,HORVU.MOREX.r3.1HG0000690,LOC_Os01g03880,Zm00001eb000650,SORBI_3001G040500,AT1G01540,HORVU.MOREX.r3.1HG0004600,LOC_Os01g02160,Zm00001eb001430,SORBI_3001G024300,AT1G01200,HORVU.MOREX.r3.1HG0002080,LOC_Os01g02120,Zm00001eb001270,SORBI_3001G004000,AT1G01190,HORVU.MOREX.r3.1HG0001020,LOC_Os01g01240,ACK2,SORBI_3001G048100
AT1G01490,HORVU.MOREX.r3.1HG0002020,LOC_Os01g01080,Zm00001eb001370,SORBI_3001G003600,AT1G01480,HORVU.MOREX.r3.1HG0001130,LOC_Os01g01400,Zm00001eb000370,SORBI_3001G021601,AT1G01060,HORVU.MOREX.r3.1HG0001950,LOC_Os01g01390,Zm00001eb001340,SORBI_3001G003600,AT1G01340,HORVU.MOREX.r3.1HG0001990,LOC_Os01g01080,Zm00001eb001020,SORBI_3001G024000,AT1G01550,HORVU.MOREX.r3.1HG0000710,LOC_Os01g03900,Zm00001eb000660,SORBI_3001G040600,AT1G01550,HORVU.MOREX.r3.1HG0004610,LOC_Os01g02500,Zm00001eb001520,SORBI_3001G024400,AT1G01290,HORVU.MOREX.r3.1HG0002090,LOC_Os01g02790,Zm00001eb001280,SORBI_3001G053500,AT1G01240,HORVU.MOREX.r3.1HG0001050,LOC_Os01g01307,ACT-2_3,SORBI_3001G068132
AT1G01580,HORVU.MOREX.r3.1HG0002040,LOC_Os01g01090,Zm00001eb001400,SORBI_3001G003700,AT1G01490,HORVU.MOREX.r3.1HG0001140,LOC_Os01g01470,Zm00001eb000430,SORBI_3001G021700,AT1G01073,HORVU.MOREX.r3.1HG0001980,LOC_Os01g01400,Zm00001eb001350,SORBI_3001G016200,AT1G01470,HORVU.MOREX.r3.1HG0002260,LOC_Os01g01090,Zm00001eb001030,SORBI_3001G024100,AT1G01560,HORVU.MOREX.r3.1HG0000720,LOC_Os01g04120,Zm00001eb000770,SORBI_3001G041100,AT1G01560,HORVU.MOREX.r3.1HG0004640,LOC_Os01g02510,Zm00001eb001530,SORBI_3001G024500,AT1G01630,HORVU.MOREX.r3.1HG0002100,LOC_Os01g02800,Zm00001eb001290,SORBI_3001G053601,AT1G01280,HORVU.MOREX.r3.1HG0003700,LOC_Os01g01312,AHL1_0,SORBI_3001G076500
AT1G01630,HORVU.MOREX.r3.1HG0002050,LOC_Os01g01100,Zm00001eb001610,SORBI_3001G003900,AT1G01980,HORVU.MOREX.r3.1HG0001150,LOC_Os01g01510,Zm00001eb000440,SORBI_3001G021800,AT1G01080,HORVU.MOREX.r3.1HG0001990,LOC_Os01g01440,Zm00001eb001360,SORBI_3001G016201,AT1G01490,HORVU.MOREX.r3.1HG0002280,LOC_Os01g01100,Zm00001eb001240,SORBI_3001G024200,AT1G01570,HORVU.MOREX.r3.1HG0001050,LOC_Os01g05105,Zm00001eb000780,SORBI_3001G041200,AT1G01570,HORVU.MOREX.r3.1HG0005060,LOC_Os01g02840,Zm00001eb001560,SORBI_3001G024700,AT1G01640,HORVU.MOREX.r3.1HG0003260,LOC_Os01g02990,Zm00001eb001300,SORBI_3001G066300,AT1G01290,HORVU.MOREX.r3.1HG0003800,LOC_Os01g01330,ALF_1,SORBI_3001G084133
AT1G01660,HORVU.MOREX.r3.1HG0002060,LOC_Os01g01110,Zm00001eb001620,SORBI_3001G012300,AT1G02060,HORVU.MOREX.r3.1HG0001330,LOC_Os01g01689,Zm00001eb000450,SORBI_3001G021900,AT1G01090,HORVU.MOREX.r3.1HG0002660,LOC_Os01g01450,Zm00001eb001370,SORBI_3001G016300,AT1G01570,HORVU.MOREX.r3.1HG0002320,LOC_Os01g01110,Zm00001eb001250,SORBI_3001G024250,AT1G01620,HORVU.MOREX.r3.1HG0001070,LOC_Os01g05500,Zm00001eb000850,SORBI_3001G041300,AT1G01695,HORVU.MOREX.r3.1HG0005070,LOC_Os01g02890,Zm00001eb001570,SORBI_3001G024800,AT1G02080,HORVU.MOREX.r3.1HG0003270,LOC_Os01g03070,Zm00001eb001310,SORBI_3001G066400,AT1G01305,HORVU.MOREX.r3.1HG0003910,LOC_Os01g01350,AMY2,SORBI_3001G084200
AT1G01670,HORVU.MOREX.r3.1HG0002080,LOC_Os01g01115,Zm00001eb001630,SORBI_3001G012400,AT1G02065,HORVU.MOREX.r3.1HG0003950,LOC_Os01g01790,Zm00001eb001040,SORBI_3001G022000,AT1G01100,HORVU.MOREX.r3.1HG0002670,LOC_Os01g01470,Zm00001eb001400,SORBI_3001G016350,AT1G01590,HORVU.MOREX.r3.1HG0002330,LOC_Os01g01115,Zm00001eb001340,SORBI_3001G024300,AT1G01630,HORVU.MOREX.r3.1HG0001920,LOC_Os01g06550,Zm00001eb000860,SORBI_3001G041400,AT1G01710,HORVU.MOREX.r3.1HG0006400,LOC_Os01g03070,Zm00001eb001680,SORBI_3001G024900,AT1G02090,HORVU.MOREX.r3.1HG0003280,LOC_Os01g03110,Zm00001eb001320,SORBI_3001G066500,AT1G01320,HORVU.MOREX.r3.1HG0003920,LOC_Os01g01360,APY3_2,SORBI_3001G133800
