Orthogroup	Maize_gene	Maize_pvalue_max	Sorghum_gene	Sorghum_pvalue_max	Rice_gene	Rice_pvalue_max	Barley_gene	Barley_pvalue_max	Arabidopsis_gene	Arabidopsis_pvalue_max	Gene_count
10478at3699	NA	NA	NA	NA	NA	NA	NA	NA	AT2G22990	AT2G22990:4.6591e-10	1
106033at3193	NA	NA	NA	NA	NA	NA	NA	NA	AT5G66005	AT5G66005:1.32081e-08	1
106033at33090	NA	NA	NA	NA	NA	NA	NA	NA	AT5G66005	AT5G66005:1.32081e-08	1
106033at71240	NA	NA	NA	NA	NA	NA	NA	NA	AT5G66005	AT5G66005:1.32081e-08	1
10661at3699	NA	NA	NA	NA	NA	NA	NA	NA	AT5G66005	AT5G66005:1.32081e-08	1
11040at2759	NA	NA	NA	NA	NA	NA	NA	NA	AT5G66110	AT5G66110:1.32081e-08	1
11040at3193	NA	NA	NA	NA	NA	NA	NA	NA	AT5G66110	AT5G66110:1.32081e-08	1
11040at33090	NA	NA	NA	NA	NA	NA	NA	NA	AT5G66110	AT5G66110:1.32081e-08	1
14039at3699	NA	NA	NA	NA	NA	NA	NA	NA	AT5G42740	AT5G42740:2.95934e-09	1
153203at3193	NA	NA	NA	NA	NA	NA	NA	NA	AT2G23090	AT2G23090:4.6591e-10	1
153203at71240	NA	NA	NA	NA	NA	NA	NA	NA	AT2G23090	AT2G23090:4.6591e-10	1
17233at3699	NA	NA	NA	NA	NA	NA	NA	NA	AT2G23090	AT2G23090:4.6591e-10	1
187366at71240	NA	NA	NA	NA	NA	NA	NA	NA	AT2G23080	AT2G23080:4.6591e-10	1
19948at3699	NA	NA	NA	NA	NA	NA	NA	NA	AT5G65980	AT5G65980:1.32081e-08	1
21201at3699	NA	NA	NA	NA	NA	NA	NA	NA	AT1G33490	AT1G33490:4.11038e-09	1
219533at71240	NA	NA	NA	NA	NA	NA	NA	NA	AT1G33475	AT1G33475:4.11038e-09	1
222319at71240	NA	NA	NA	NA	NA	NA	NA	NA	AT5G66110	AT5G66110:1.32081e-08	1
230754at71240	NA	NA	NA	NA	NA	NA	NA	NA	AT5G66055	AT5G66055:1.32081e-08	1
263878at2759	NA	NA	NA	NA	NA	NA	NA	NA	AT2G22990	AT2G22990:4.6591e-10	1
263878at3193	NA	NA	NA	NA	NA	NA	NA	NA	AT2G22990	AT2G22990:4.6591e-10	1
263878at33090	NA	NA	NA	NA	NA	NA	NA	NA	AT2G22990	AT2G22990:4.6591e-10	1
263878at71240	NA	NA	NA	NA	NA	NA	NA	NA	AT2G22990	AT2G22990:4.6591e-10	1
27177at3699	NA	NA	NA	NA	NA	NA	NA	NA	AT2G23080	AT2G23080:4.6591e-10	1
305465at71240	NA	NA	NA	NA	NA	NA	NA	NA	AT2G23110	AT2G23110:5.25811e-10	1
31074at3699	NA	NA	NA	NA	NA	NA	NA	NA	AT5G66080	AT5G66080:1.32081e-08	1
319237at3193	NA	NA	NA	NA	NA	NA	NA	NA	AT5G66050	AT5G66050:1.32081e-08	1
