Maize_gene,Found_in_ge3_common_orthogroups,Phenotypes_present,PC1,PC2,PC3,pH,soilN,AM_rel_abundance_colonization,AM_roots_colonized,aridity_index,Orthogroups,Arabidopsis_ortholog_genes,Barley_ortholog_genes,Rice_ortholog_genes,Sorghum_ortholog_genes
Zm00001eb067730,1,AM_rel_abundance_colonization; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,0,1,625738at3193; 625738at33090; 640662at2759,AT1G14540;AT1G49570;AT2G22420;AT2G24800;AT2G34060;AT2G37130;AT2G38380;AT3G17070;AT3G49110;AT4G11290;AT4G30170;AT4G37520;AT5G05340;AT5G06720;AT5G15180;AT5G24070;AT5G40150;AT5G51890;AT5G58390,HORVU.MOREX.r3.1HG0025050;HORVU.MOREX.r3.1HG0054280;HORVU.MOREX.r3.1HG0067930;HORVU.MOREX.r3.2HG0112600;HORVU.MOREX.r3.2HG0112610;HORVU.MOREX.r3.2HG0112660;HORVU.MOREX.r3.2HG0112670;HORVU.MOREX.r3.2HG0112720;HORVU.MOREX.r3.5HG0446790;HORVU.MOREX.r3.5HG0494460;HORVU.MOREX.r3.6HG0546360;HORVU.MOREX.r3.6HG0615810;HORVU.MOREX.r3.6HG0618250;HORVU.MOREX.r3.7HG0667660,LOC_Os01g07870;LOC_Os05g01620;LOC_Os08g03020,SORBI_3001G080200;SORBI_3001G189200;SORBI_3001G314000;SORBI_3001G328100;SORBI_3001G379400;SORBI_3003G320800;SORBI_3010G161600;SORBI_3010G161700;SORBI_3010G161800
Zm00001eb425840,1,AM_rel_abundance_colonization; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,0,1,640662at2759,AT1G14540;AT1G49570;AT2G22420;AT2G24800;AT2G34060;AT2G37130;AT2G38380;AT3G17070;AT3G49110;AT4G11290;AT4G30170;AT4G37520;AT5G05340;AT5G06720;AT5G15180;AT5G24070;AT5G40150;AT5G51890;AT5G58390,HORVU.MOREX.r3.1HG0025050;HORVU.MOREX.r3.1HG0054280;HORVU.MOREX.r3.1HG0067930;HORVU.MOREX.r3.2HG0112600;HORVU.MOREX.r3.2HG0112610;HORVU.MOREX.r3.2HG0112660;HORVU.MOREX.r3.2HG0112670;HORVU.MOREX.r3.2HG0112720;HORVU.MOREX.r3.5HG0446790;HORVU.MOREX.r3.5HG0494460;HORVU.MOREX.r3.6HG0546360;HORVU.MOREX.r3.6HG0615810;HORVU.MOREX.r3.6HG0618250;HORVU.MOREX.r3.7HG0667660,LOC_Os01g07870;LOC_Os05g01620;LOC_Os08g03020,SORBI_3001G080200;SORBI_3001G189200;SORBI_3001G314000;SORBI_3001G328100;SORBI_3001G379400;SORBI_3003G320800;SORBI_3010G161600;SORBI_3010G161700;SORBI_3010G161800
Zm00001eb068210,1,AM_rel_abundance_colonization; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,0,1,640662at2759; 640662at3193; 640662at33090,AT1G14540;AT1G49570;AT2G22420;AT2G24800;AT2G34060;AT2G37130;AT2G38380;AT3G17070;AT3G49110;AT4G11290;AT4G30170;AT4G37520;AT5G05340;AT5G06720;AT5G15180;AT5G24070;AT5G40150;AT5G51890;AT5G58390,HORVU.MOREX.r3.1HG0025050;HORVU.MOREX.r3.1HG0054280;HORVU.MOREX.r3.1HG0067930;HORVU.MOREX.r3.2HG0112600;HORVU.MOREX.r3.2HG0112610;HORVU.MOREX.r3.2HG0112660;HORVU.MOREX.r3.2HG0112670;HORVU.MOREX.r3.2HG0112720;HORVU.MOREX.r3.5HG0446790;HORVU.MOREX.r3.5HG0494460;HORVU.MOREX.r3.6HG0546360;HORVU.MOREX.r3.6HG0615810;HORVU.MOREX.r3.6HG0618250;HORVU.MOREX.r3.7HG0667660,LOC_Os01g07870;LOC_Os05g01620;LOC_Os08g03020,SORBI_3001G080200;SORBI_3001G189200;SORBI_3001G314000;SORBI_3001G328100;SORBI_3001G379400;SORBI_3003G320800;SORBI_3010G161600;SORBI_3010G161700;SORBI_3010G161800
Zm00001eb043110,1,AM_rel_abundance_colonization; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,0,1,640662at2759,AT1G14540;AT1G49570;AT2G22420;AT2G24800;AT2G34060;AT2G37130;AT2G38380;AT3G17070;AT3G49110;AT4G11290;AT4G30170;AT4G37520;AT5G05340;AT5G06720;AT5G15180;AT5G24070;AT5G40150;AT5G51890;AT5G58390,HORVU.MOREX.r3.1HG0025050;HORVU.MOREX.r3.1HG0054280;HORVU.MOREX.r3.1HG0067930;HORVU.MOREX.r3.2HG0112600;HORVU.MOREX.r3.2HG0112610;HORVU.MOREX.r3.2HG0112660;HORVU.MOREX.r3.2HG0112670;HORVU.MOREX.r3.2HG0112720;HORVU.MOREX.r3.5HG0446790;HORVU.MOREX.r3.5HG0494460;HORVU.MOREX.r3.6HG0546360;HORVU.MOREX.r3.6HG0615810;HORVU.MOREX.r3.6HG0618250;HORVU.MOREX.r3.7HG0667660,LOC_Os01g07870;LOC_Os05g01620;LOC_Os08g03020,SORBI_3001G080200;SORBI_3001G189200;SORBI_3001G314000;SORBI_3001G328100;SORBI_3001G379400;SORBI_3003G320800;SORBI_3010G161600;SORBI_3010G161700;SORBI_3010G161800
Zm00001eb195200,1,AM_rel_abundance_colonization; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,0,1,640662at2759,AT1G14540;AT1G49570;AT2G22420;AT2G24800;AT2G34060;AT2G37130;AT2G38380;AT3G17070;AT3G49110;AT4G11290;AT4G30170;AT4G37520;AT5G05340;AT5G06720;AT5G15180;AT5G24070;AT5G40150;AT5G51890;AT5G58390,HORVU.MOREX.r3.1HG0025050;HORVU.MOREX.r3.1HG0054280;HORVU.MOREX.r3.1HG0067930;HORVU.MOREX.r3.2HG0112600;HORVU.MOREX.r3.2HG0112610;HORVU.MOREX.r3.2HG0112660;HORVU.MOREX.r3.2HG0112670;HORVU.MOREX.r3.2HG0112720;HORVU.MOREX.r3.5HG0446790;HORVU.MOREX.r3.5HG0494460;HORVU.MOREX.r3.6HG0546360;HORVU.MOREX.r3.6HG0615810;HORVU.MOREX.r3.6HG0618250;HORVU.MOREX.r3.7HG0667660,LOC_Os01g07870;LOC_Os05g01620;LOC_Os08g03020,SORBI_3001G080200;SORBI_3001G189200;SORBI_3001G314000;SORBI_3001G328100;SORBI_3001G379400;SORBI_3003G320800;SORBI_3010G161600;SORBI_3010G161700;SORBI_3010G161800
Zm00001eb291850,1,AM_rel_abundance_colonization; PC1; PC2; PC3; aridity_index; pH; soilN,1,1,1,1,1,1,0,1,273255at33090; 640662at2759,AT1G14540;AT1G49570;AT2G22420;AT2G24800;AT2G34060;AT2G37130;AT2G38380;AT3G17070;AT3G49110;AT4G11290;AT4G30170;AT4G37520;AT5G05340;AT5G06720;AT5G15180;AT5G24070;AT5G40150;AT5G51890;AT5G58390,HORVU.MOREX.r3.1HG0025050;HORVU.MOREX.r3.1HG0054280;HORVU.MOREX.r3.1HG0067930;HORVU.MOREX.r3.2HG0112600;HORVU.MOREX.r3.2HG0112610;HORVU.MOREX.r3.2HG0112660;HORVU.MOREX.r3.2HG0112670;HORVU.MOREX.r3.2HG0112720;HORVU.MOREX.r3.5HG0446790;HORVU.MOREX.r3.5HG0494460;HORVU.MOREX.r3.6HG0546360;HORVU.MOREX.r3.6HG0615810;HORVU.MOREX.r3.6HG0618250;HORVU.MOREX.r3.7HG0667660,LOC_Os01g07870;LOC_Os05g01620;LOC_Os08g03020,SORBI_3001G080200;SORBI_3001G189200;SORBI_3001G314000;SORBI_3001G328100;SORBI_3001G379400;SORBI_3003G320800;SORBI_3010G161600;SORBI_3010G161700;SORBI_3010G161800
Zm00001eb041140,1,AM_rel_abundance_colonization; PC1,1,0,0,0,0,1,0,0,4925430at2759; 557225at33090,AT1G30270;AT2G30360;AT3G17510;AT3G23000;AT4G30960;AT5G07070;AT5G35410,HORVU.MOREX.r3.1HG0017980,,SORBI_3001G161300;SORBI_3003G302800;SORBI_3010G186300
Zm00001eb058940,1,PC1,1,0,0,0,0,0,0,0,648461at2759; 648461at3193; 648461at33090; 65892at4447,,HORVU.MOREX.r3.7HG0634830,LOC_Os03g08230,SORBI_3002G025700
Zm00001eb429270,1,AM_roots_colonized; PC1; PC2; PC3; pH; soilN,1,1,1,1,1,0,1,0,787554at2759; 787554at33090,AT2G38910;AT2G41140;AT2G41860;AT3G50530;AT3G51850;AT4G09570;AT4G21940;AT4G23650;AT5G04870;AT5G66210,HORVU.MOREX.r3.1HG0092880;HORVU.MOREX.r3.3HG0303750;HORVU.MOREX.r3.6HG0633900,,SORBI_3001G045000;SORBI_3001G063300;SORBI_3001G361300;SORBI_3002G040800;SORBI_3002G317300;SORBI_3002G377300;SORBI_3003G225200;SORBI_3004G279100;SORBI_3008G053300;SORBI_3009G249000
Zm00001eb117300,1,AM_roots_colonized; PC1; PC2; PC3; pH; soilN,1,1,1,1,1,0,1,0,717333at3193; 787554at2759; 787554at33090,AT2G38910;AT2G41140;AT2G41860;AT3G50530;AT3G51850;AT4G09570;AT4G21940;AT4G23650;AT5G04870;AT5G66210,HORVU.MOREX.r3.1HG0092880;HORVU.MOREX.r3.3HG0303750;HORVU.MOREX.r3.6HG0633900,,SORBI_3001G045000;SORBI_3001G063300;SORBI_3001G361300;SORBI_3002G040800;SORBI_3002G317300;SORBI_3002G377300;SORBI_3003G225200;SORBI_3004G279100;SORBI_3008G053300;SORBI_3009G249000
