GeneID,Species,Phenotypes_present,Matched_Maize_NRT_genes,Orthogroups,PC1,PC2,PC3,pH,soilN,AM_rel_abundance_colonization,AM_roots_colonized,aridity_index
AT1G12110,Arabidopsis,AM_rel_abundance_colonization; AM_roots_colonized; PC1; PC2; PC3; aridity_index; soilN,Zm00001eb023610; Zm00001eb046210; Zm00001eb053220; Zm00001eb082170; Zm00001eb112180; Zm00001eb126980; Zm00001eb152390; Zm00001eb162570; Zm00001eb180070; Zm00001eb222030; Zm00001eb245250; Zm00001eb251130; Zm00001eb289290; Zm00001eb304390; Zm00001eb335710; Zm00001eb342280; Zm00001eb371840,627237at2759; 629188at33090; 678476at3193,1,1,1,0,1,1,1,1
AT1G18880,Arabidopsis,PC2,Zm00001eb126980; Zm00001eb162570; Zm00001eb251130; Zm00001eb304390; Zm00001eb371840,627237at2759; 629188at33090,0,1,0,0,0,0,0,0
AT1G32450,Arabidopsis,AM_rel_abundance_colonization; PC1; PC2; PC3; aridity_index; soilN,Zm00001eb046210; Zm00001eb053220; Zm00001eb082170; Zm00001eb112180; Zm00001eb126980; Zm00001eb162570; Zm00001eb180070; Zm00001eb222030; Zm00001eb245250; Zm00001eb251130; Zm00001eb289290; Zm00001eb304390; Zm00001eb342280; Zm00001eb371840,431403at3193; 627237at2759; 629188at33090,1,1,1,0,1,1,0,1
AT1G52190,Arabidopsis,PC1; PC2,Zm00001eb126980; Zm00001eb162570; Zm00001eb251130; Zm00001eb304390; Zm00001eb371840,627237at2759; 629188at33090,1,1,0,0,0,0,0,0
AT1G59740,Arabidopsis,AM_roots_colonized; PC2; PC3; aridity_index; pH,Zm00001eb023610; Zm00001eb046210; Zm00001eb053220; Zm00001eb082170; Zm00001eb112180; Zm00001eb126980; Zm00001eb152390; Zm00001eb162570; Zm00001eb251130; Zm00001eb289290; Zm00001eb304390; Zm00001eb335710; Zm00001eb371840,627237at2759; 629188at33090,0,1,1,1,0,0,1,1
AT1G68570,Arabidopsis,AM_rel_abundance_colonization; AM_roots_colonized; PC1; pH,Zm00001eb023610; Zm00001eb046210; Zm00001eb053220; Zm00001eb126980; Zm00001eb152390; Zm00001eb180070; Zm00001eb222030; Zm00001eb245250; Zm00001eb251130; Zm00001eb289290; Zm00001eb304390; Zm00001eb335710; Zm00001eb342280; Zm00001eb371840,627237at2759; 629188at33090,1,0,0,1,0,1,1,0
AT2G02040,Arabidopsis,PC3,Zm00001eb082170; Zm00001eb112180; Zm00001eb126980; Zm00001eb289290; Zm00001eb304390,627237at2759; 629188at33090,0,0,1,0,0,0,0,0
AT2G37900,Arabidopsis,AM_rel_abundance_colonization,Zm00001eb046210; Zm00001eb180070; Zm00001eb222030; Zm00001eb245250; Zm00001eb251130; Zm00001eb289290; Zm00001eb304390; Zm00001eb342280,627237at2759; 629188at33090,0,0,0,0,0,1,0,0
AT2G40460,Arabidopsis,AM_rel_abundance_colonization; AM_roots_colonized,Zm00001eb023610; Zm00001eb046210; Zm00001eb152390; Zm00001eb180070; Zm00001eb222030; Zm00001eb245250; Zm00001eb251130; Zm00001eb289290; Zm00001eb304390; Zm00001eb335710; Zm00001eb342280,627237at2759; 629188at33090,0,0,0,0,0,1,1,0
AT3G21670,Arabidopsis,AM_rel_abundance_colonization; AM_roots_colonized,Zm00001eb023610; Zm00001eb046210; Zm00001eb152390; Zm00001eb180070; Zm00001eb222030; Zm00001eb245250; Zm00001eb251130; Zm00001eb289290; Zm00001eb304390; Zm00001eb335710; Zm00001eb342280,627237at2759; 629188at33090,0,0,0,0,0,1,1,0
AT3G45660,Arabidopsis,AM_roots_colonized; PC3,Zm00001eb023610; Zm00001eb046210; Zm00001eb082170; Zm00001eb112180; Zm00001eb126980; Zm00001eb152390; Zm00001eb289290; Zm00001eb304390; Zm00001eb335710,627237at2759; 629188at33090,0,0,1,0,0,0,1,0
AT3G45680,Arabidopsis,AM_rel_abundance_colonization; PC1; PC3; aridity_index; pH; soilN,Zm00001eb046210; Zm00001eb053220; Zm00001eb082170; Zm00001eb112180; Zm00001eb126980; Zm00001eb180070; Zm00001eb222030; Zm00001eb245250; Zm00001eb251130; Zm00001eb289290; Zm00001eb304390; Zm00001eb342280; Zm00001eb371840,627237at2759; 629188at33090,1,0,1,1,1,1,0,1
AT5G46050,Arabidopsis,PC1; PC2; PC3; pH,Zm00001eb053220; Zm00001eb082170; Zm00001eb112180; Zm00001eb126980; Zm00001eb162570; Zm00001eb251130; Zm00001eb289290; Zm00001eb304390; Zm00001eb371840,627237at2759; 629188at33090,1,1,1,1,0,0,0,0
AT5G62680,Arabidopsis,PC2; aridity_index; pH; soilN,Zm00001eb046210; Zm00001eb053220; Zm00001eb126980; Zm00001eb162570; Zm00001eb251130; Zm00001eb289290; Zm00001eb304390; Zm00001eb371840,627237at2759; 629188at33090,0,1,0,1,1,0,0,1
