Orthogroup	Maize_gene	Maize_pvalue_max	Sorghum_gene	Sorghum_pvalue_max	Rice_gene	Rice_pvalue_max	Barley_gene	Barley_pvalue_max	Arabidopsis_gene	Arabidopsis_pvalue_max	Gene_count
4810817at2759	Zm00001eb134010	Zm00001eb134010:0.00194545	SORBI_3006G138200	SORBI_3006G138200:0.00114174	LOC_Os03g08000	LOC_Os03g08000:3.91294e-05	HORVU.MOREX.r3.7HG0658130	HORVU.MOREX.r3.7HG0658130:0.00172893	AT2G16660;AT2G34355	AT2G16660:0.000748299;AT2G34355:0.000155991	5
4854762at2759	Zm00001eb209660;Zm00001eb291450	Zm00001eb209660:0.00300307;Zm00001eb291450:0.00449562	SORBI_3009G181700	SORBI_3009G181700:0.00068724	LOC_Os09g04260	LOC_Os09g04260:4.50459e-05	HORVU.MOREX.r3.6HG0619210;HORVU.MOREX.r3.7HG0725980;HORVU.MOREX.r3.7HG0746550	HORVU.MOREX.r3.6HG0619210:0.000910874;HORVU.MOREX.r3.7HG0725980:2.53876e-06;HORVU.MOREX.r3.7HG0746550:0.00104093	AT1G09380;AT1G21890;AT3G53210;AT4G01440;AT4G08300;AT5G07050	AT1G09380:0.000143023;AT1G21890:9.81355e-07;AT3G53210:0.000175468;AT4G01440:0.000252791;AT4G08300:0.000881511;AT5G07050:0.000414049	5
4925430at2759	Zm00001eb110020;Zm00001eb417440	Zm00001eb110020:0.000771649;Zm00001eb417440:0.0046683	SORBI_3003G302800;SORBI_3010G186300	SORBI_3003G302800:0.00177562;SORBI_3010G186300:0.0022112	LOC_Os01g05360;LOC_Os07g06870	LOC_Os01g05360:0.000198638;LOC_Os07g06870:6.09678e-07	HORVU.MOREX.r3.1HG0017980	HORVU.MOREX.r3.1HG0017980:0.000884794	AT1G30270;AT2G30360;AT3G17510;AT3G23000;AT4G18700;AT5G07070;AT5G35410;AT5G58380	AT1G30270:0.00170423;AT2G30360:6.53491e-06;AT3G17510:0.000248776;AT3G23000:0.000150295;AT4G18700:0.0008207;AT5G07070:0.000414049;AT5G35410:0.000636722;AT5G58380:0.000456616	5
4999782at2759	Zm00001eb047520	Zm00001eb047520:0.00124434	SORBI_3007G036800	SORBI_3007G036800:0.00274834	LOC_Os03g06920	LOC_Os03g06920:3.40081e-07	HORVU.MOREX.r3.2HG0159100	HORVU.MOREX.r3.2HG0159100:0.000153483	AT3G03690;AT3G15350	AT3G03690:0.0018971;AT3G15350:0.000673065	5
5017799at2759	Zm00001eb192230;Zm00001eb204210;Zm00001eb430620	Zm00001eb192230:0.00251835;Zm00001eb204210:0.00339269;Zm00001eb430620:0.00415788	SORBI_3005G087800;SORBI_3006G209400	SORBI_3005G087800:0.00174686;SORBI_3006G209400:9.46192e-05	LOC_Os04g04520	LOC_Os04g04520:1.86012e-05	HORVU.MOREX.r3.2HG0202320	HORVU.MOREX.r3.2HG0202320:0.00103926	AT1G22280;AT1G34750;AT2G30020;AT5G53140	AT1G22280:0.000164242;AT1G34750:0.000270522;AT2G30020:1.76823e-06;AT5G53140:0.000155907	5
557225at33090	Zm00001eb110020;Zm00001eb417440	Zm00001eb110020:0.000771649;Zm00001eb417440:0.0046683	SORBI_3003G302800;SORBI_3010G186300	SORBI_3003G302800:0.00177562;SORBI_3010G186300:0.0022112	LOC_Os01g05360;LOC_Os07g06870	LOC_Os01g05360:0.000198638;LOC_Os07g06870:6.09678e-07	HORVU.MOREX.r3.1HG0017980	HORVU.MOREX.r3.1HG0017980:0.000884794	AT1G30270;AT2G30360;AT3G17510;AT3G23000;AT4G18700;AT5G07070;AT5G35410;AT5G58380	AT1G30270:0.00170423;AT2G30360:6.53491e-06;AT3G17510:0.000248776;AT3G23000:0.000150295;AT4G18700:0.0008207;AT5G07070:0.000414049;AT5G35410:0.000636722;AT5G58380:0.000456616	5
601051at2759	Zm00001eb258830	Zm00001eb258830:0.00466096	SORBI_3006G272800	SORBI_3006G272800:0.00300482	LOC_Os06g06140	LOC_Os06g06140:5.79607e-06	HORVU.MOREX.r3.1HG0002100	HORVU.MOREX.r3.1HG0002100:0.000276598	AT1G22610;AT1G51570;AT1G74720;AT3G57880;AT5G06850	AT1G22610:0.000730636;AT1G51570:5.06701e-07;AT1G74720:0.000649094;AT3G57880:5.51349e-05;AT5G06850:2.02211e-06	5
601051at3193	Zm00001eb258830	Zm00001eb258830:0.00466096	SORBI_3006G272800	SORBI_3006G272800:0.00300482	LOC_Os06g06140	LOC_Os06g06140:5.79607e-06	HORVU.MOREX.r3.1HG0002100	HORVU.MOREX.r3.1HG0002100:0.000276598	AT1G22610;AT1G51570;AT3G57880;AT5G06850	AT1G22610:0.000730636;AT1G51570:5.06701e-07;AT3G57880:5.51349e-05;AT5G06850:2.02211e-06	5
601051at33090	Zm00001eb258830	Zm00001eb258830:0.00466096	SORBI_3006G272800	SORBI_3006G272800:0.00300482	LOC_Os06g06140	LOC_Os06g06140:5.79607e-06	HORVU.MOREX.r3.1HG0002100	HORVU.MOREX.r3.1HG0002100:0.000276598	AT1G22610;AT1G51570;AT1G74720;AT3G57880;AT5G06850	AT1G22610:0.000730636;AT1G51570:5.06701e-07;AT1G74720:0.000649094;AT3G57880:5.51349e-05;AT5G06850:2.02211e-06	5
621821at33090	Zm00001eb047520	Zm00001eb047520:0.00124434	SORBI_3007G036800	SORBI_3007G036800:0.00274834	LOC_Os03g06920	LOC_Os03g06920:3.40081e-07	HORVU.MOREX.r3.2HG0159100	HORVU.MOREX.r3.2HG0159100:0.000153483	AT3G03690;AT3G15350	AT3G03690:0.0018971;AT3G15350:0.000673065	5
