Orthogroup	Maize_gene	Maize_pvalue_max	Sorghum_gene	Sorghum_pvalue_max	Rice_gene	Rice_pvalue_max	Barley_gene	Barley_pvalue_max	Arabidopsis_gene	Arabidopsis_pvalue_max	Gene_count
100739at38820	NA	NA	NA	NA	LOC_Os10g04780	LOC_Os10g04780:6.3711e-12	NA	NA	NA	NA	1
100739at4447	NA	NA	NA	NA	LOC_Os10g04780	LOC_Os10g04780:6.3711e-12	NA	NA	NA	NA	1
106355at38820	NA	NA	NA	NA	LOC_Os10g05050	LOC_Os10g05050:1.53611e-15	NA	NA	NA	NA	1
106355at4447	NA	NA	NA	NA	LOC_Os10g05050	LOC_Os10g05050:1.53611e-15	NA	NA	NA	NA	1
111046at38820	NA	NA	NA	NA	LOC_Os10g04960	LOC_Os10g04960:5.6354e-10	NA	NA	NA	NA	1
111046at4447	NA	NA	NA	NA	LOC_Os10g04960	LOC_Os10g04960:5.6354e-10	NA	NA	NA	NA	1
1239at38820	NA	NA	NA	NA	NA	NA	HORVU.MOREX.r3.5HG0430940	HORVU.MOREX.r3.5HG0430940:1.59136e-09	NA	NA	1
1239at4447	NA	NA	NA	NA	NA	NA	HORVU.MOREX.r3.5HG0430940	HORVU.MOREX.r3.5HG0430940:1.59136e-09	NA	NA	1
128682at3193	NA	NA	NA	NA	LOC_Os10g04780	LOC_Os10g04780:6.3711e-12	NA	NA	NA	NA	1
128682at33090	NA	NA	NA	NA	LOC_Os10g04780	LOC_Os10g04780:6.3711e-12	NA	NA	NA	NA	1
148967at2759	NA	NA	NA	NA	LOC_Os10g04910	LOC_Os10g04910:5.6354e-10	NA	NA	NA	NA	1
148967at3193	NA	NA	NA	NA	LOC_Os10g04910	LOC_Os10g04910:5.6354e-10	NA	NA	NA	NA	1
148967at33090	NA	NA	NA	NA	LOC_Os10g04910	LOC_Os10g04910:5.6354e-10	NA	NA	NA	NA	1
183724at71240	NA	NA	NA	NA	NA	NA	NA	NA	AT5G64080	AT5G64080:1.25366e-10	1
186778at2759	NA	NA	NA	NA	NA	NA	NA	NA	AT5G64090	AT5G64090:1.25366e-10	1
186778at3193	NA	NA	NA	NA	NA	NA	NA	NA	AT5G64090	AT5G64090:1.25366e-10	1
186778at33090	NA	NA	NA	NA	NA	NA	NA	NA	AT5G64090	AT5G64090:1.25366e-10	1
186778at71240	NA	NA	NA	NA	NA	NA	NA	NA	AT5G64090	AT5G64090:1.25366e-10	1
19240at4447	NA	NA	NA	NA	LOC_Os10g04980	LOC_Os10g04980:5.6354e-10	NA	NA	NA	NA	1
21466at3699	NA	NA	NA	NA	NA	NA	NA	NA	AT4G08300	AT4G08300:1.55519e-09	1
215877at2759	NA	NA	NA	NA	LOC_Os10g04570	LOC_Os10g04570:2.7447e-10	NA	NA	NA	NA	1
219442at2759	NA	NA	NA	NA	NA	NA	NA	NA	AT5G64050	AT5G64050:1.25366e-10	1
219442at3193	NA	NA	NA	NA	NA	NA	NA	NA	AT5G64050	AT5G64050:1.25366e-10	1
219442at33090	NA	NA	NA	NA	NA	NA	NA	NA	AT5G64050	AT5G64050:1.25366e-10	1
219442at71240	NA	NA	NA	NA	NA	NA	NA	NA	AT5G64050	AT5G64050:1.25366e-10	1
22296at38820	NA	NA	NA	NA	LOC_Os10g04980	LOC_Os10g04980:5.6354e-10	NA	NA	NA	NA	1
229426at3193	NA	NA	NA	NA	NA	NA	NA	NA	AT5G64040	AT5G64040:1.25366e-10	1
229426at71240	NA	NA	NA	NA	NA	NA	NA	NA	AT5G64040	AT5G64040:1.25366e-10	1
2565614at2759	NA	NA	NA	NA	LOC_Os10g04770	LOC_Os10g04770:6.3711e-12	NA	NA	NA	NA	1
264404at3193	NA	NA	NA	NA	LOC_Os10g04940	LOC_Os10g04940:5.6354e-10	NA	NA	NA	NA	1
276470at3193	NA	NA	NA	NA	LOC_Os10g04760	LOC_Os10g04760:6.3711e-12	NA	NA	NA	NA	1
28593at38820	NA	NA	NA	NA	LOC_Os12g06240	LOC_Os12g06240:5.52044e-09	NA	NA	NA	NA	1
28593at4447	NA	NA	NA	NA	LOC_Os12g06240	LOC_Os12g06240:5.52044e-09	NA	NA	NA	NA	1
294240at2759	NA	NA	NA	NA	NA	NA	NA	NA	AT5G64100	AT5G64100:1.25366e-10	1
294240at3193	NA	NA	NA	NA	NA	NA	NA	NA	AT5G64100	AT5G64100:1.25366e-10	1
294240at33090	NA	NA	NA	NA	NA	NA	NA	NA	AT5G64100	AT5G64100:1.25366e-10	1
