Orthogroup,Gene_count,Maize_gene,Maize_pvalue_max,Sorghum_gene,Sorghum_pvalue_max,Rice_gene,Rice_pvalue_max,Barley_gene,Barley_pvalue_max,Arabidopsis_gene,Arabidopsis_pvalue_max
640662at2759,5,Zm00001eb001560;Zm00001eb022050;Zm00001eb102470;Zm00001eb194740;Zm00001eb276250;Zm00001eb281180;Zm00001eb330530;Zm00001eb390710;Zm00001eb395060,Zm00001eb001560:6.93436e-05;Zm00001eb022050:0.000458902;Zm00001eb102470:8.13015e-05;Zm00001eb194740:0.00104456;Zm00001eb276250:0.000315999;Zm00001eb281180:0.00244235;Zm00001eb330530:0.00102729;Zm00001eb390710:0.000252712;Zm00001eb395060:0.000875566,SORBI_3001G080200;SORBI_3001G293000,SORBI_3001G080200:0.00385571;SORBI_3001G293000:0.00356636,LOC_Os04g06510;LOC_Os05g01620;LOC_Os12g01120,LOC_Os04g06510:0.000140685;LOC_Os05g01620:0.000343109;LOC_Os12g01120:2.68626e-05,HORVU.MOREX.r3.2HG0112720;HORVU.MOREX.r3.7HG0667610;HORVU.MOREX.r3.7HG0667620,HORVU.MOREX.r3.2HG0112720:0.000393492;HORVU.MOREX.r3.7HG0667610:8.67287e-05;HORVU.MOREX.r3.7HG0667620:5.71583e-07,AT1G14540;AT1G68850;AT2G38380;AT4G11290;AT5G40150;AT5G58390,AT1G14540:9.11003e-08;AT1G68850:3.10358e-08;AT2G38380:0.000273871;AT4G11290:3.78317e-07;AT5G40150:4.06871e-05;AT5G58390:0.000296544
717421at2759,5,Zm00001eb144570,Zm00001eb144570:0.00125528,SORBI_3004G185000,SORBI_3004G185000:0.00142548,LOC_Os01g08990,LOC_Os01g08990:0.000165574,HORVU.MOREX.r3.4HG0338070,HORVU.MOREX.r3.4HG0338070:0.000455667,AT1G06700;AT2G41970,AT1G06700:0.000203833;AT2G41970:2.76245e-07
717421at3193,5,Zm00001eb144570,Zm00001eb144570:0.00125528,SORBI_3004G185000,SORBI_3004G185000:0.00142548,LOC_Os01g08990,LOC_Os01g08990:0.000165574,HORVU.MOREX.r3.4HG0338070,HORVU.MOREX.r3.4HG0338070:0.000455667,AT1G06700;AT2G41970,AT1G06700:0.000203833;AT2G41970:2.76245e-07
717421at33090,5,Zm00001eb144570,Zm00001eb144570:0.00125528,SORBI_3004G185000,SORBI_3004G185000:0.00142548,LOC_Os01g08990,LOC_Os01g08990:0.000165574,HORVU.MOREX.r3.4HG0338070,HORVU.MOREX.r3.4HG0338070:0.000455667,AT1G06700;AT2G41970,AT1G06700:0.000203833;AT2G41970:2.76245e-07
131670at33090,4,Zm00001eb198820,Zm00001eb198820:0.000531604,SORBI_3003G368000,SORBI_3003G368000:0.00427276,NA,NA,HORVU.MOREX.r3.1HG0075890,HORVU.MOREX.r3.1HG0075890:0.000362329,AT1G25280,AT1G25280:0.000363846
16345at3193,4,Zm00001eb105040;Zm00001eb194210;Zm00001eb249690,Zm00001eb105040:0.00284698;Zm00001eb194210:8.74675e-05;Zm00001eb249690:0.00209229,NA,NA,LOC_Os07g04850,LOC_Os07g04850:0.000153768,HORVU.MOREX.r3.6HG0614370,HORVU.MOREX.r3.6HG0614370:5.26069e-05,AT1G35910;AT5G51460,AT1G35910:1.83886e-05;AT5G51460:1.07607e-05
381908at2759,4,Zm00001eb275510;Zm00001eb426230,Zm00001eb275510:0.00112872;Zm00001eb426230:0.0020821,SORBI_3001G003600;SORBI_3002G280500,SORBI_3001G003600:0.0013433;SORBI_3002G280500:0.000414082,NA,NA,HORVU.MOREX.r3.2HG0097240;HORVU.MOREX.r3.6HG0629070,HORVU.MOREX.r3.2HG0097240:0.000153862;HORVU.MOREX.r3.6HG0629070:0.000348197,AT2G30310;AT2G40250,AT2G30310:0.000264003;AT2G40250:0.00016574
4285218at2759,4,Zm00001eb106450;Zm00001eb106460,Zm00001eb106450:0.00234353;Zm00001eb106460:0.00234353,SORBI_3002G329900;SORBI_3002G330000,SORBI_3002G329900:0.000168019;SORBI_3002G330000:0.000168019,NA,NA,HORVU.MOREX.r3.4HG0338210,HORVU.MOREX.r3.4HG0338210:0.000267979,AT1G54690;AT3G20670;AT5G54640,AT1G54690:1.09333e-05;AT3G20670:1.75304e-05;AT5G54640:0.000270193
43813at33090,4,Zm00001eb105040;Zm00001eb194210;Zm00001eb249690,Zm00001eb105040:0.00284698;Zm00001eb194210:8.74675e-05;Zm00001eb249690:0.00209229,NA,NA,LOC_Os07g04850,LOC_Os07g04850:0.000153768,HORVU.MOREX.r3.6HG0614370,HORVU.MOREX.r3.6HG0614370:5.26069e-05,AT1G35910;AT5G51460,AT1G35910:1.83886e-05;AT5G51460:1.07607e-05
4382965at2759,4,Zm00001eb198820,Zm00001eb198820:0.000531604,SORBI_3003G368000,SORBI_3003G368000:0.00427276,NA,NA,HORVU.MOREX.r3.1HG0075890,HORVU.MOREX.r3.1HG0075890:0.000362329,AT1G25280,AT1G25280:0.000363846
